CollectionID,Title,Identifier,FeaturedText,Description,Strengths,PhysicalCharacteristics,CollectionType,AccessControl,AccrualPolicy,AccrualMethod,AccrualPeriodicity,AccrualGenStatement,CollectionNotes,LegalStatus,CustodialHistory,CollectionTemporalStart,CollectionTemporalEnd,AccumulationDateStart,AccumulationDateEnd,ContentsDateStart,ContentsDateEnd,DescriptionOrCatalogue,PublicationsNote,LocationID,OwnerID,OldCollectionID,ModerationFlag,LastUpdate,URLToCollection,oaiSet,InProgress,NorthernBridgeEntry,name_ids,area_ids,collector_ids,media_ids,subject_ids,asscociated_ids,language_ids
11,CAIN,,,"CAIN (Conflict Archive on the INternet) is a web-based resource which provides a wide range of information and source documents about the Northern Ireland conflict from 1968 to the present day.  This information is a combination of text that was specially written for the CAIN site and previously published material, which includes the full-text of important documents, and extracts from books and reports.  The site is aimed at an academic audience but it is freely available to anyone with access to the Internet.  The resources at this site are of use to anyone undertaking courses of study on the Troubles in Northern Ireland, or in conflict studies in general.  Most of the information and source material available on the CAIN site is contained in three main sections (i) background to the conflict, (ii) key events of the conflict, (iii) key issues of the conflict. The CAIN web site is based within the University of Ulster.","The CAIN project is currently on-going but it is hoped to provide information on a range of topics associated with the conflict in Northern Ireland and politics in the region.  One of the advantages of the project is the ease of access afforded to source material.  The web site also provides supporting information such as chronologies, summaries, bibliographies, etc.",CAIN is a web based resource.,Collection.Internet.Text.Image,This is a web based resource. The site and it's contents may be accessed free of charge subject to copyright restrictions.,Active,Donation,Regular,Information is added to the CAIN website regularly.,,,,,,,,1966,,"See <a href=""http://www.ark.ac.uk/cain"" target=""new_window"">http://www.ark.ac.uk/cain</a>.",This is a web based Collection,7,125,422,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=11,rascal,0,,"320,423",,85,,,"210,211,212",177
12,Philip B Wilson Library,,,"The Philip B Wilson Library houses an extensive collection of over 2,000 volumes. Subjects covered include local history, church history, agriculture, archaeology, Irish Military history, transportation, architecture and many more. The library also includes the 700 volume collection of the Ulster Quarterly Meeting of the Religious Society of Friends. This collection, dating from the mid-seventeenth to the mid-twentieth century, is of great value to anyone wishing to research the history of the Religious Society of Friends locally and further afield. Of great benefit to the local researcher is a growing collection of over 15,000 slides and photographs which record the development of the Craigavon area, it's social history, industries, prominent families and landscape. A catalogue and CD-ROM of this collection are currently being compiled and will be completed soon. Also available for consultation is a large collection of 6"" and 5' Ordnance Survey maps of the Craigavon area from the early 19th century.","Craigavon area - past and present, taking in Portadown, Lurgan, Craigavon city development, Brownlow and rural Craigavon Brough areas.  Included in this collection is a specialist collection relating to the Quakers in Ireland and a photographic library.","Over 2,000 volumes relating to a wide range of subjects which illustrate the history and local heritage of the area.",Collection.Museum.Text.Special,The material in this collection is for reference only.,Active,Donation,Regular,,,,,,,,,1751,,"Fully searchable database of the Quaker Collection available at: <a href=""http://www.craigavon.gov.uk/museum/research.htm"" target=""new_window"">http://www.craigavon.gov.uk/museum/research.htm</a>",,10,196,423,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=12,rascal,0,,"1494,1919",,90,,,,177
13,Library of the Ulster Quarterly Meeting of the Religious Society of Friends,,,"The Library of the Ulster Quarterly Meeting of the Religious Society of Friends held by Craigavon Museum Services is the second largest collection of its kind in Ireland.  It was donated to the Museum Library by the Ulster Quarterly Collection of the Religious Society of Friends.  The collection held in within the Philip B Wilson Library records the history of the Quakers in Ireland and further afield from the mid-seventeenth century.  The collection comprises male and female writers and includes 800 volumes of tracts, obituaries, biographies, journals, periodicals, apologetics and 17th to 20th century travels in ministry.  The collection reflects ther long association with quakers in the area as it was in lurgan in 1654 that the first meeting in Ireland was held.  Subject areas covered in the collection include biographies, diaries, social history, commentaries on Quaker lives, slavery and religious theory.",Strength of the collection lies in  its comprehensive nature with regard to Quaker religious thought and theory.  It is also rich in detail about social life and observations on events in history in general..,800 books,Collection.Museum.Text.Special,The material in this collection is for reference only.,Closed,Donation,Closed,The Library of the Ulster Quarterly Meeting of the Religious Society of Friends is no longer being added to - though the Museum Library continues to collect Quaker books for the Main Collection.,,,,,,,,1659,1995,"This collection is catalogued and available online at: <a href=""http://www.craigavon.gov.uk/museum/research.htm"" target=""new_window"">http://www.craigavon.gov.uk/museum/research.htm</a>",,10,196,424,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=13,rascal,0,,1495,,156,,,,177
14,Community Relations Reference Library,,,"Established in 1990, the Community Relations Council Reference Library contains approx 2,200 published works relating to the theme of community relations in Northern Ireland reflecting the Council's principal areas of activity. Some international comparative material is included, but the majority of the collection concerns community relations in Northern Ireland. The titles date mostly from 1990 and are largely published in-house by local voluntary organisations.","This is a unique collection of material on Community Relations initiatives and themes in Northern Ireland. Much of the material is not in book form and has not been commercially available. Those researching the conflict in Northern Ireland and the various initiatives (particularily at the non-political level) to address it, will find the collection of particular interest.  Particular strengths of collection are community relations, cross-community relations, conflict resolution, cultural diversity, peace education, reconciliation, sectarianism.","The library has approximately 2,200 titles comprising books, reports, periodicals, papers, booklets and other printed literature.",Collection.Library.Special,Reference only. All copyright and publication enquiries should be directed to Library staff.,Active,Purchase,Regular,,"The Council is a registered charity and an independent company limited by guarantee, although it is often regarded in practice as a non-departmental public body because of its receipt of public funding.",,,,,,,1990,,"<a href=""http://www.community-relations.org.uk/resources/library/searchlb.htm"" target=""new_window"">http://www.community-relations.org.uk/resources/library/searchlb.htm</a>",,9,133,425,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=14,rascal,0,,421,,89,,,,177
15,Derry and Raphoe Diocesan Library,,,"The subject matter is substantially theology, church history and the classics, reflecting the lives and interests of the donors. The Derry and Raphoe Diocesan Library is an amalgamation of the Derry Diocesan and Raphoe Diocesan libraries. They were amalgamated in 1881. Each library was stocked through donations and bequests from bishops, learned clerics and gentlmen of the 18th and 19th centuries. The last major donation, approximately 2,000 volumes, was from Rev. C. Seymour in 1883. The Library has been housed in various locations over the centuries and it is fair to say losses have been incurred.","The Derry &amp; Raphoe Diocesan Library consists of approximately 6,500 volumes, the bulk of which are 16th-18th century printings. The Collection is rich in STC and Wing items, it also includes a number of incunabula. Items of note include Albetus Magnus: Compendium theologiae veritatis (1480); the Complutensian polyglot Bible (1522); Ortelius's Geographia (1584) and a first edition of Samuel Johnson's Dictionary (1755).","The Collection consists of approximately 6,500 volumes.",Collection.Library.0.,The Collection is for reference only.,Passive,Donation;,Irregular,The Collection is largely static. It has been accumulated through a combination of deposit/bequest and purchase. There is no particular collection policy or focus in operation.,"The Derry &amp; Raphoe Diocesan Library is currently housed in the environmentally controlled Special Collections Room at the Learning Resource Centre of the University of Ulster's Magee campus. The Collection is on long term loan to the University from the Diocese. University maintains and provides access to the collection, but it remains the property of the Diocese of Derry &amp; Raphoe.",,,,,,,1480,,"There is a card catalogue for the Collection, compiled by Col. G. V. Hart c.1933, nothing added since has been catalogued. There are also two manuscript ledgers with details of each item listed - subject covered, number of volumes, author/editor, place of origin, date, edition and size. These details are accompanied by additional notes and references.",,37,139,426,-1,11/8/2016,http://www.rascal.ac.uk/index.php?CollectionID=15,rascal,0,0,"401,539,650,783,824,901,1003,1591,1688,1758",,92,,,,"177,46,55,74,183"
16,EGSA Library,,,"EGSA collection is concerned with adult learning and related issues -, guidance, implementation, policy, special groups, etc.  The collection consists of books, reports and journals from the 1960s onward.  EGSA aims to help adults to access learning and to improve opportunities for learning. EGSA provides information, advice and guidance on learning opportunities for adults over the age of 19. The organisation is particularly interested in people who have been unable to take advantage of formal education.  Information is collected and maintained on a wide range of courses and careers.  Advice is available to help people interpret information or to use it more effectively.  Guidance is provided to help adults identify learning needs and make decisions about appropriate learning opportunities.","This is likely to be a unique collection in terms of depth of coverage concerning adult education, adult guidance, life-long learning and related subjects.","800 volumes, 60 journal titles",Collection.Library.Special,The material in this collection is for reference only.,Active,Donation,Regular,,,,,,,,,1967,,50% of  collection is accessed through an automated catalogue (post 1995) and the remainder through a card catalogue.,,12,143,427,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=16,rascal,0,,580,,94,,,,177
17,Equality Commission (NI) Cuttings Collection,,,"The collection comprises newspaper cuttings relating to women's issues.  The sequence begins in the late 1980s and has continued until the present day.  National and local newspapers (News Letter, Irish News, Irish Times, Belfast Telegraph, Times, Guardian, Independent, Financial Times, Times Educational Supplement) are scanned each working day, articles are clipped and copied.  Since 1998 the coverage has broadened to include race, religion and disability issues.  There is also a collection of regional newspaper cuttings dealing with racial issues, particularly on  the Traveller Community.","This collection covers Northern Ireland regional newspapers as well as UK national papers.  The collection may be used for research relating to national and local issues, and also to compare the way different newspapers treat the same news story.",Paper copy stored in one filing cabinet and six storage boxes,Collection.Library. Special. Text.,This collection is for reference only.,Active,Donation,Regular,"Approximately 5,000 items are added to this collection per annum.","Since the bulk of the collection comprises the old Equal Opportunities Commission for NI library, the main emphasis is on women's issues, especially for earlier material.",,,,,,,1985,,All items are classified and filed according to an inhouse classification scheme.,The parent collection contains publications of the four constituent bodies as well as the Commission's current output.,73,145,428,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=17,rascal,0,,"419,611,622,1305",,95,,,,177
18,EC Reference Library,,,"The European Commission Representation in Northern Ireland acts on behalf of the European Commission in Brussels by representing its interests. The Representation is also the first point of contact for people in Northern Ireland who wish to know more about the European Union.  Since 1996, the Representation has operated a specialised information unit open to the public.  The EC Info-Point has a comprehensive range of EU and other publications, which are available to the public free of charge.  There is also an excellent Reference Library with more in-depth information on all EU policies and programmes. The collection held in the Reference Library includes European Commission publications from the Office for Official Publications in Luxemburg including the Official Journal (hardcopy backdated 2/3 years - microfiche copy backdated to 1973).  All other reference material is held for a period of 5 years (includes material from some European Associated organisations).  The Info-Point, along with the European Information Network in Northern Ireland, has made EU information more accessible to the general public in Northern Ireland and marks a major development in public contact with the European Commission.",Useful for research into specific European policy areas and European legislation.,,Collection. Library.Special.Text.,The material in this collection is for reference only.,Active,Donation,Regular,,,,,,,,,1973,,None available,,14,146,429,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=18,rascal,0,,617,,96,,,,177
19,Foyle College Archive,,,"Foyle College Archive comprises material relating to the school founded in 1617 by Matthias Springham and its development to the present day.  The archive consists of books, pamphlets, reports, journals and photographs.  Personal papers, school records and Minutes as well as a considerable collection of school related ephemera may also be found in the collection.","The material in this collection spans four centuries and provides a social and historical commentary not only on the school itself but also on Ulster and colonial Britain, particularly in the 19th century.  Famous past pupils include the Lawrence brothers,  Alexander, George and Henry, who are more particularly associated with the Indian Mutiny of 1857.",This collection has not yet been listed.,Collection.Archive.,An appointment to view the material in this collection should be made with the administrator prior to a visit.,Active,Donation,Regular,,,,,,,,,1617,,This collection is not yet catalogued or listed.,,15,152,430,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=19,rascal,0,,"524,663,666,668,733,947,1011,1022,1023,1024,1025,1082,1660",,97,,,,177
20,LIRA Library Collection,,"The collection at the Irish Linen Centre and Lisburn Museum includes the research library of books and journals, and also memoranda and reports of the scientific and technical research projects undertaken by the Linen Industry Research Association (LIRA) throughout its existence.","The collection at the Irish Linen Centre and Lisburn Museum includes the research library of books and journals, and also memoranda and reports of the scientific and technical research projects undertaken by the Linen Industry Research Association (LIRA) throughout its existence. The Linen Industry Research Association, Lambeg, Lisburn was a government research centre founded in 1921 for the study of textiles, especially linen. LIRA closed in 1993. Its collection was the outcome of specialist collecting and research documentation over the lifetime of the institution.","The specificity of the collection is its principal strength. In addition, there are significant quantities of nineteenth century and twentieth century (mainly unbroken) textile journal runs. There are also rare eighteenth and nineteenth century pamphlets and books on linen production and agriculture in the British Isles and Europe.","There are approximately 5,000 books, journals, reports and memoranda in the LIRA Collection.",Collection.Museum.Text.Special,Access policies are currently being developed with the aim of enabling visitor access and consultation of material from April 2002. Further details regarding conditions of access etc. will be made available as soon as possible.,Closed,Donation,Closed,,,,,tbc,tbc,tbc,tbc,1800,1993,An on-line catalogue is due to be completed in 2002.,,16,199,431,-1,1/2/2013,http://www.rascal.ac.uk/index.php?CollectionID=20,rascal,0,,"1065,1070",1,470,1,"3,12",,177
21,Ballymoney Special Collection,,"The Ballymoney Special Collection is a modest collection of local studies materials on or about Ballymoney, Northern Ireland and Ireland more generally. It has a special emphasis on Irish literature and includes titles by local authors.","The Ballymoney Special Collection is a modest collection of local studies materials on or about Ballymoney, Northern Ireland and Ireland more generally. It has a special emphasis on Irish literature and includes titles by local authors.",The strengh of the Collection lies in its comprehensive nature. There are many titles dealing with the histroy and development of Ballymoney.,The Ballymoney Special Collection consists of approximately 450 titles.,Collection.Library.0.,This Collection is for reference only. Please contact Libraries NI regarding access.,Active,Purchase;,Regular,,,Libraries NI have legal ownership of this collection. All enquiries regarding access and permissions should be directed to Libraries NI.,,,,,,1860,,"The titles in this Collection have been catalogued and are available at: <a href="" http://www.neelb.org.uk/libraryservice/catalog/l000106a.asp<br>"" target=""new_window"">http://www.neelb.org.uk</a>.",,130,428,432,-1,12/22/2014,http://www.rascal.ac.uk/index.php?CollectionID=21,rascal,-1,0,"114,1293",1,502,1,"3,5","22,218",177
22,George Shiels Collection,,"The George Shiels Collection at Libraries NI consists of the private library of local playwright George Shiels (1881-1949).This collection also includes original typescripts of many of Shiels’ plays and some personal belongings such as Christmas Cards, family albums and letters.","The George Shiels Collection consists of the private library of local playwright George Shiels (1881-1949). Shiels was born near Ballymoney, County Antrim. He emigrated to Canada to work on the Canadian Pacific Railway, but was injured in 1913 and disabled for life in an accident. He returned to Northern Ireland and set up business with his brother as a shipping agent and started to write. His first play - Away from the Moss, was performed by the Ulster Literary Theatre in 1918. Many of his plays, starting with Bedmates in 1921, were performed by the Abbey Theatre in Dublin where he was very popular with Dublin audiences. His plays were also performed at Belfast's Group Theatre. George Shiels plays are often described as ""kitchen dramas"" and are very popular with amateur theatre groups. Despite the limited canvas with which Shiels worked it is apparent from his work that he was keen commentator on the changing times in which he lived. This collection also includes original typescripts of many of Shiels’ plays and some personal belongings such as Christmas Cards, family albums and letters.",This is the private library of George Shiels and reflects the personal interests of the man. Includes multiple copies of Shiels' plays. It will be of interest to students of George Shiels and his work and local residents.,The George Shiels Collection comprises 93 titles.,Collection.Library.0.,This Collection is for reference only. Please contact Libraries NI regarding access.,Closed,Donation;,Closed,,,Libraries NI have legal ownership of this collection. All enquiries regarding access and permissions should be directed to Libraries NI.,,,,,,1915,,"The George Shiels Collection is catalogued and available online at: <a href="" http://www.neelb.org.uk/libraryservice/catalog/l000106a.asp "" target=""new_window"">http://www.neelb.org.uk</a>.",,130,428,433,-1,12/22/2014,http://www.rascal.ac.uk/index.php?CollectionID=22,rascal,-1,0,1604,1,"502,267","1,9,3","3,5",101,177
23,"Local Studies Collection, Ballymena",,"The Local Studies Collection held at Ballymena Library consists of a broad range of materials on or about the history and development of the towns, villages and communities of the North East, extending over most of County Antrim and part of County Londonderry. The collection aspires to include comprehensive series of books and pamphlets, journals, CD-ROMs, maps, photographs, postcards, local newspapers etc concerning life within this area, past, present and future and about all aspects of the local environment.","The Local Studies Collection held at Ballymena Library consists of a broad range of materials on or about the history and development of the towns, villages and communities of the North East, extending over most of County Antrim and part of County Londonderry. The collection aspires to include comprehensive series of books and pamphlets, journals, CD-ROMs, maps, photographs, postcards, local newspapers etc concerning life within this area, past, present and future and about all aspects of the local environment. Local publications are well represented and the collection includes titles by many local authors. Microfilms of the 1901 Census for Counties Antrim and Londonderry and minutes of the Boards of Guardians for some locations are also to be found in addition to some school rolls for the local area.",The strength of the Collection lies in its very local nature.,"Approximately 15,000 titles, 3,000 maps, 2,000 photographs, 3,200 microfilms",Collection.Library.Text.Special,This Collection is for reference only. Please contact Libraries NI regarding access,Active,Purchase;,Regular,,,Libraries NI have legal ownership of this collection. All enquiries regarding access and permissions should be directed to Libraries NI.,,,,,,1800,,"This Collection is catalogued and available at: <a href=""http://www.neelb.org.uk/libraryservice/catalog/l000106a.asp"" target=""new_window"">http://www.neelb.org.uk</a>.",,132,428,434,-1,4/9/2015,http://www.rascal.ac.uk/index.php?CollectionID=23,rascal,-1,0,"452,1294",1,502,"1,9,5,11,7,2","1,3,5,7,10","79,111,206",177
24,McSkimin Room Collection,,"The McSkimin Collection at Libraries NI contains a local studies collection containing materials on or about the history and development of Carrickfergus and its environs. Named after Samuel McSkimin (1775-1843), author of the definitive history of the town, “The history and antiquities of the county of the town of Carrickfergus,” first published in 1811, the collection comprises approx. 750 volumes plus directories and journals.","The McSkimin Room in Carrickfergus Library contains a local studies collection containing materials on or about the history and development of Carrickfergus and its environs. Named after Samuel McSkimin (1775-1843), author of the definitive history of the town, “The history and antiquities of the county of the town of Carrickfergus,” first published in 1811, the collection comprises approx. 750 volumes plus directories and journals.",The McSkimin Room is good collection of local Irish/Ulster books with a strong proportion of standard works on the Carrickfergus area. The strength of the collection lies in the depth and comprehensive nature of its coverage.,"Approximately 2,000 items.",Collection.Library.Text.Special,"Items in the Collection are available for loan, but some items are for reference only.",Active,Purchase;,Regular,,,Libraries NI have legal ownership of this collection. All enquiries regarding access and permissions should be directed to Libraries NI.,,,,,,1900,,"The items in the McSkimin Room Collection have been catalogued and are available online at: <a href="" http://www.neelb.org.uk/libraryservice/catalog/l000106a.asp<br>"" target=""new_window""> http://www.neelb.org.uk/</a>.",,8,428,435,-1,12/22/2014,http://www.rascal.ac.uk/index.php?CollectionID=24,rascal,-1,0,"346,1295",1,125,"1,9","1,3","21,23",177
