"description","LocationID","LocationType","LocationName","LocationAddress1","LocationAddress2","LocationAddress3","LocationCity","LocationCounty","LocationCountry","LocationPostcode","LocationWebsite","LocationAccess","AdministratorRole","AdministratorPhone","AdministratorFax","AdministratorEmail","OldLocID"
"EGSA is an independent, voluntary organisation with its own management committee.  Core funding is received from central Government. The organisation was set up by the Northern Ireland Council of Social Service in 1967 as an experimental pilot scheme: it was financed by the Clement Wilson Foundation, later supplemented by a grant from the Gulbenkian Foundation, and from 1970 it has been grant aided by the Department of Education for Northern Ireland (now Department for Employment and Learning).","12",,"Educational Guidance Service for Adults","Fourth Floor, 40 Linenhall Street, Belfast",,,,,"6","BT2 8BA","http://www.egsa.org.uk","The library is available for reference during standard office hours on prior appointment with the Information Officer.","Senior Information Officer","+44 (0)28 9024 4274","+44 (0)28 9027 1507","info@egsa.org.uk","31"
,"13","1","Enniskillen Library","Halls Lane",,,"Enniskillen",,,"BT74 7DR","http://www.welbni.org","http://www.librariesni.org.uk/Libraries/Pages/Enniskillen-Library.aspx <br /><br />The library is situated close to the town centre with car parking facilities and access for the disabled. Opening Hours are as follows: Monday , Wednesday &amp; Friday - 09.15 - 17.15, Tuesday &amp; Thursday - 09.15 - 19.30 and Saturday -09.15 - 13.00","Librarian","00442866322886",,"enniskillen.library@librariesni.org.uk","32"
"The European Commission Office in Northern Ireland first opened in 1980, acting initially as an Information and Press Office and serving a population which knew very little about the European Community. However the Representation's remit has expanded and now it has four distinct roles:  Representing the European Commission's voice to all sectors of society by explaining the likely impact of EU policies and programmes and ensuring that information on Europe is factually correct.  Reporting to Brussels and ensuring that the Commission is fully informed of the political, economic and social developments in the region. Supporting a policy of decentralising EU information in order to bring it closer to citizens.  Stimulating constructive debate about EU policies and future developments. Debate is encouraged through conferences, briefings, press releases, publications, articles and television and radio interviews.","14",,"European Commission (NI)","Windsor House, 9-15 Bedford Street, Belfast",,,,,"6","BT2 7EG","http://www.cec.org.uk/ni/index.htm","The EC Info-Point is open Monday-Thursday:  10:00-17.00 and Friday  10:00-16.30.  Closed 13:15-14:15. The Reference Library is open every afternoon from 14.30.  No appointment necessary. Telephone, e-mail and postal enquiries welcome.","Information Officer","+44 (0)28 9024 0708","+44 (0)28 9024 8241 ","Julie.Brown@cec.eu.int ","34"
"The Free School of Londonderry was founded in 1617 by Matthias Springham in Schoolhouse Lane, within the city walls. Springham was the Master of the Merchants' Taylor Company. The school moved in 1814 to a purpose built building above the Strand. It was shortly after this that the name was changed to Foyle College. The Foyle College Act was passed in 1896 uniting Londonderry Academical Institution and Foyle College, with the name and traditions of the older school being retained. In 1976 Londonderry High School and Foyle College amalgamated to form Foyle & Londonderry College.","15",,"Foyle & Londonderry College","Duncreggan Road, Londonderry",,,,,"6","BT48 0AW","http://www.foyle-lderry.org.uk/index.html","Please contact the administrator.","Administrator","+44 (0)28 7126 9321","+44 (0)28 7126 9425","admin@foyle-lderry.org.uk","35"
"The Irish Linen Centre & Lisburn Museum is financed and managed by Lisburn Borough Council.","16",,"Irish Linen Centre & Lisburn Museum","Market Square,  Lisburn",,,,,"6","BT28 1AG","http://www.lisburn.gov.uk","Access policies for the LIRA Library collection are currently under development.  The general Museum opening hours for exhibitions are 09.30 - 17.00  Monday-Saturday. The Museum Reference Library is open by appointment,  Monday-Friday  09.30 - 17.00.","Curator","+44 (0)28 9266 3377","+44 (0)28 9267 2624","irishlinencentre@lisburn.gov.uk","38"
"The Belfast Library and Society for Promoting Knowledge is the official title of the institution more commonly known as the Linen Hall Library.  It is the oldest library in Ireland.  It developed from the Belfast Reading Society which was founded in 1788.  The Library has always enjoyed a central role in the literary and cultural life of the city.  The Linen Hall Library provides a free public reference service, but continues to run a subscription library for the benefit of its members.  It is located in the centre of Belfast and is a leading centre for Irish and local studies in the North of Ireland, and its holdings range from its comprehensive holdings of early Belfast & Ulster printed books to the 250,000 items in the Northern Ireland Political Collection, the definitive archive of the recent troubles.  Completion of a major extension in September 2000 as part of a £3.4 Million Millennium Development has put it in an even better position to serve members and visitors alike.","17",,"Linen Hall Library","17 Donegall Square North, Belfast",,,,,"6","BT1 5GB","http://www.linenhall.com","Independent subscribing research library. Open to the public free of charge for reference services. Non-members (visitors) are required to provide proof of identity and address, to sign a visitors’ register and wear a visitor badge while in the Library.  Seating accommodation in the general reading room is reserved for members only.  Overseas visitors and those involved in serious research are recommended to make prior contact. Photocopying and microfilm facilities. Disabled access.  Opening hours:  Monday - Friday: 09.30-17.30; Saturday: 09.30 - 16.00.","Irish and Reference Librarian","+44 (0)28 9032 1707","+44 (0)28 9043 8586","info@linenhall.com","41"
"NIPR established a repository in Northern Ireland for all Northern Ireland publications in October 2000.  Before NIPR was established no single institution in Northern Ireland was responsible for collecting and cataloguing titles published in Northern Ireland.  NIPR was set up with funding from the British Library's Cooperation and Partnership Fund.  Stock is acquired directly from the publishers through voluntary donation.  The repository is split between two sites - Belfast Central Library and the Linen Hall Library also in Belfast.","18",,"Northern Ireland Publications Resource","Belfast Central Library, Royal Avenue, Belfast",,,,,"6","BT1 1EA","http://www.nibooks.org/","NIPR has a dedicated database and website which makes information about Northern Ireland publications available on  Internet.  The repository is split between Belfast Central Library and the Linen Hall Library.  The Catalogue should be consulted for the l","NIPR Manager","+44 (0)28 9024 2740","+44 (0)28 9024 2779","info@nibooks.org","43"
"Part of the Library and Research Service of the Northern Ireland Assembly, it provides a library service to Members and staff of the Northern Ireland Assembly.","20",,"NI Assembly Library","Parliament Buildings, Stormont,  Belfast",,,,,"6","BT4 3XX",,"The Northern Ireland Assembly Library exists to support the members of  NI Assembly.   Physical access is normally limited to Assembly personnel.  However inquiries by telephone, letter or electronic means will be answered.","Librarian (Reader Services)","+44 (0)28 9052 1256","+44 (0)28 9052 1922","george.woodman@niassembly.gov.uk","46"
"NICVA is the umbrella body for community and voluntary groups in Northern Ireland.  Established in 1938 as the NI Council of Social Services, the name was changed in the mid 1980s.  NICVA provides its 1000+ members with information, advice and traning on a wide range of issues.  NICVA adopts a community development approach, attempting to empower local communities to peursue their own needs and agendas.   The Library and Information Service has been crucial in this aim.","21",,"NI Council for Voluntary Action","61 Duncairn Gardens, Belfast",,,,,"6","BT15 2GB","http://www.nicva.org","The library is open 09.00 - 15.00 weekdays.  Anyone is welcome, although NICVA members receive priority.  We have full disability acess. An appointment with the Information Officer is required.","Information Officer","+44 (0)28 9087 7777","+44 (0)28 9087 7777","elaine.campbell@nicva.org","47"
,"22","1","Omagh Library","1 Spillars Place",,,"Omagh",,,"BT78 1HL","http://www.welbni.org","http://www.librariesni.org.uk/Libraries/Pages/Omagh-Library.aspx <br /><br />Opening Hours:<br /><br /> Mon: 09.00-17.00<br />Tue: 09.00-20.00<br />Wed &amp; thurs: 09.00-17.30<br />Fri &amp; Sat: 09.00-17.00<br />Sun: Closed","Librarian","00442882244821",,"omagh.library@librariesni.org.uk","48"
"The Presbyterian Historical Society was founded in 1907. It has a current membership of about 400 people. The Society organises a programme of lectures and offers an annual field trip and occasional visits to places of interest. A library and archive are maintained at 26 College Green for the use of members and other interested parties. Opening hours are limited.","23",,"Presbyterian Historical Society","Church House, Fisherwick Place, Belfast",,,,,"6","BT1 6DW",,"The Rooms are open Monday - Friday: 10.00 - 12.30  and  Wednesday afternoon 13.15 - 15.30","Assistant Secretary","+44 (0)28 9032 2284 ext 274",,,"49"
"The Public Record Office of Northern Ireland (PRONI) is theofficial place of deposit for all public records in Northern Ireland and was established by Act of Parliament following the creation of Northern Ireland in 1921. PRONI is also the main repository in Northern Ireland for private records.","24","3","Public Record Office of Northern Ireland (PRONI)","2 Titanic Boulevard ",,,"Belfast ",,,"BT3 9HQ ","http://www.proni.gov.uk","The Record Office is open to the general public on weekdays between 9.15 am and 4.45 pm, with late night opening until 8.45 pm on Thursday evenings. The Office is closed on the main public holidays and is closed annually for two weeks late November/early December. All readers are required to register their membership on their first visit to the office for which some form of identification will be asked. Registration and admission to the office is free of charge to the public, although certain commercial users (i.e. solicitors, journalists, television reporters and professional genealogists) are subject to a fee. Disabled access facilities, self-service microfilm and a chargeable copying service are provided.","Government agency with responsibility for official and private records"," 0442890534800",,"proni@dcalni.gov.uk","50"
"The Northern Ireland Place Name Project was established in the Department of Irish and Celtic Studies in the School of Languages, Literatures and Arts at Queen's University Belfast with government funding in 1987 to research the names of physical features and settlements on the Ordnance Survey 1:50,000 scale map. The Project was to build up a computer database of the names, giving their origin, meaning, and any historical or other relevant information. In 1990 the work was extended to include all townlands and a publication programme was begun, thus fulfilling the aims of the Ulster Place Name Society ""to undertake a survey of Ulster place names"" and to publish the results for members. Seven volumes were produced 1992-7, on parts of Counties Antrim (2), Derry (1) and Down (4). After a gap in funding 1997-9, a new grant was obtained from the Arts and Humanities Research Board to produce two further volumes in the series (Fermanagh and Tyrone) and to work towards releasing the database online. In the meantime some support was obtained from the Heritage Lottery Fund for a travelling exhibition (Celebrating Ulster’s Townlands by Kay Muhr) and from the Community Relations Council and Ultach Trust for the writing of the first Dictionary of Ulster Place-Names (by Patrick McKay). The Project is due to end in March 2004.   See also:  <a href=""http://www.qub.ac.uk/lla/cel/placenameproject.htm"" target=""new_window"">http://www.qub.ac.uk/lla/cel/placenameproject.htm</a>","25","1","Queen's University Belfast ","The McClay Library","10 College Park",,"Belfast",,,"BT7 1LP","http://www.qub.ac.uk/lib","The McClay Library operates a controlled entry system.  Members are required to use their Queen’s staff, student or library card to obtain admission.  <br /><br />Information for visitor access to The McClay Library for researchers not affiliated with Queen's is available from the Library website at <a href=""http://www.qub.ac.uk/directorates/InformationServices/TheLibrary/"">http://www.qub.ac.uk/lib</a> <br /><br />Visitor access to Special Collections &amp; Archives is detailed here <a href=""https://www.qub.ac.uk/directorates/InformationServices/TheLibrary/SpecialCollections/"">http://www.qub.ac.uk/specialcollections</a>","Librarian","00442890976333",,"rascal@qub.ac.uk","52"
,"26","1","Queen's University Belfast - Medical Library","Mulhouse Building","Mulhouse Road",,"Belfast",,"6","BT12 6DP","http://www.qub.ac.uk/lib","The Medical Library is open to students registered at the University, members of staff and also to associated members of the Library on payment of an annual subscription fee. Opening Hours: Mon-Fri, 09:00-22:00, Sat, 09:00-12:30 (term-time) and Mon-Fri, 09:00-17:30, Sat, 09:00-12:30 (vacation). The Library is closed on St. Patrick's Day (Mar 17th), Good Friday, Easter Monday, Easter Tuesday, May Day, 12-13th July and Christmas Eve to New Year's Day inclusive.","Faculty Librarian","+44 (0)28 9063 2595 ",,"p.younger@qub.ac.uk","53"
"The Religious Society of Friends in Ireland, recognised as a denomination within the Christian faith, has about seventy members in its Lisburn Meeting. ""Quaker"" is a nickname given to Friends, more than 300 years ago, by which they are sometimes best known today. Central to the life of Friends in Lisburn is the Meeting for Worship at which any member may speak or pray when led by the Holy Spirit to do so. This form of worship does not need a priest or clergyman to lead it or mediate between the Almighty and worshippers. The Meeting’s affairs are governed by regular meetings at which any member has a right to attend and speak. The Meeting has a chairperson, known as the Clerk, whose duty is to discern the feeling of the meeting and record it. No votes are ever taken. The Clerk’s job is to do the will of the meeting. It follows that decisions come up from the congregation, and are not handed down from the top. Similar meetings are held also at provincial and all–Ireland levels, at which matters affecting Friends are decided. Rules for church government are contained in a slim 90-page volume called the Book of Discipline.  Further information can be obtained from <a href=""http://www.ipag.com/quakers"" target=""new_window"">http://www.ipag.com/quakers</a>","27",,"Religious Society of Friends","c/o 22 Whitla Road, Lisburn",,,,,"6","BT28 3PP",,"Access is strictly by prior arrangement with the Meeting House Honorary Librarian.","Honorary Librarian","+44 (0)28 9260 1864",,,"54"
"The Regiment dates back to the reign of George III, when in 1793 to meet the commitments of war with France, the 83rd and the 86th Regiments of Foot were raised. At about the same time Regiments of Militia were raised in counties Antrim, Down and Louth. All were eventually to be part of The Royal Irish Rifles which later became The Royal Ulster Rifles. The 83rd Regiment was raised in Dublin by Colonel William Fitch and soon saw active service in the West Indies. The 86th Regiment was originally raised in Shropshire by General Cornelius Cuyler and was known as ""Cuyler's Shropshire Volunteers"". However there was some difficulty in recruiting sufficient numbers and on the regiment's move to Ireland they changed their main recruiting area to Leinster and became known as the ""Irish Giants"". The regiments saw active service in Egypt in the early 1800s and later in the Napoleonic Wars, where they were awarded many honours for their actions and bravery. The outbreak of the Indian Mutiny in 1857 found both Regiments in India and honours were again bestowed on members of the regiments. The next main event in the Regiment's history was the formation in 1881 of The Royal Irish Rifles. Many changes of dress, of title, of organisation and equipment followed, but the greatest of all was the conversion to a Rifle Regiment, which was regarded as a signal honour. It was in 1921 that the decision was made to change the name from The Royal Irish Rifles to The Royal Ulster Rifles. Finally in 1968 The Royal Ulster Rifles amalgamated with The Royal Inniskilling Fusiliers and The Royal Irish Fusiliers to form The Royal Irish Rangers, thus preserving the future of the Irish Regiments.","28",,"Royal Ulster Rifles Museum","5 Waring Street, Belfast",,,,,"6","BT1 2EW","http://rurmuseum.tripod.com","Research is only initiated by post to enable contributions to the costs.   Opening Hours: Monday- Thursday: 10.00 - 12.30  and 14.00 -16.00 preferably by telephone appointment. Closes at 15.00 on Friday Requests for information should include a stamped,","Honorary Curator","+44 (0)28 9023 2086  & +44 (0)28 9024 7279","+44 (0)28 9023 2086","rurmuseum@yahoo.co.uk","55"
"At the end of the First World War a group of volunteers in the UK spoke out against injustice to children in Germany and Austria. They believed that these children were being punished for their leaders' part in the First World War. As a result of an economic blockade imposed after the war to starve the politicians into submission, many children died.  Eglantyne Jebb and her sister Dorothy Buxton, were at the forefront of this campaign.  They felt campaigning had to go hand-in-hand with practical action.  Save the Children was launched in 1919 to send food to the suffering children. Within a few years, Save the Children gained a reputation as a highly effective relief agency.  Today Save the Children maintains its commitment to helping children in emergencies, while also campaigning for politicians to tackle the causes of war and environmental disasters.  In 1923 Save the Children's founder, Eglantyne Jebb, pioneered the world's first charter on children's rights. It promoted the principle that children were entitled to a good quality of life, and that governments, families and other adults were obliged to provide this. So instead of being seen as charity cases, children were portrayed as having rights which adults must fulfil.  By the end of the century, the ideas behind the charter had changed international thinking about children. In 1989 the charter formed the basis of the UN Convention on the Rights of the Child. This Convention is now the most widely recognised international law, having been signed by just about every country in the world.","29",,"Save the Children (NI)","Popper House, 15 Richmond Park, Finaghy, Belfast",,,,,"6","BT10 0HB","http://www.savethechildren.org.uk","Appointments made be made between the following hours: Monday - Friday 09.00 - 17.00",,"+44 (0)28  9043 1123","+44 (0)28 9043 1314","r.mcdonald@scfuk.ork.uk","56"
"St Mary's University College is an independent Catholic institution linked academically to the Queen's University of Belfast, which validates its degrees, and the Department of Education for Northern Ireland. The College has been at the forefront of Teacher Education in Northern Ireland since 1900.  While its primary task is the training and ongoing professional development of teachers for the Catholic schools sector , the College is actively involved in the professional development of all teachers in all types of schools. It operates at undergraduate and post-graduate levels and offers a range of courses and awards of an educational and related nature.","31",,"St Mary's University College","191 Falls Road, Belfast",,,,,"6","BT12 6FE","http://www.stmarys-belfast.ac.uk","College term time hours: Mon-Thursday  9.00-9.00, Friday 9.00-5.00, Saturady 9.00-1.00, Vacation hours: Mon -Friday 9.00-1.00, 2.00-5.00. Students at higher education institutions, teachers and lecturers may consult the collection as visitors to","Assistant Librarian - Cataloguing","+44 (0)28 9032 7678","+44 (0)28 9033 3719","f.jones@stmarys-belfast.ac.uk","58"
"The Centre for Migration Studies developed from the research library for the Ulster American Folk Park. This was in existence from 1980 approx. In 1990 the WELB on behalf of the 5 Education & Library Boards took over the running of the Library and appointed a Librarian (Christine McIvor) & Database Manager (John Winters). The library operated from a temporary building until 1993, when a new purpose built building was officially opened. At this stage a Senior Library Assistant/Clerical Officer (Mrs Christine Johnston) was also appointed by the WELB. In 1996 the Library was officially named Centre for Emigration Studies. A MSSc in Irish Migration Studies in conjunction with QUB was instigated in September 1996, taught by Dr John Lynch from QUB & Dr Patrick Fitzgerald from the UAFP. This continues to run successfully. The name of the Centre was changed to its present name in 1998 with the appointment of a Director – Dr Brian Lambkin. It was felt that Migration was a term which better explained the ethos of the Centre, by encompassing emigration, immigration, internal migration & return migration. Dr Patrick Fitzgerald was also appointed at this time to the CMS and is now Lecturer & Development Officer. The Centre has a Management Committee made up of the Scotch-Irish Trust and representatives from WELB, QUB and other interested organisations. The Centre continues to support the UAFP & its staff in their research, but is also involved in research, teaching & publication on its own behalf. We are a national centre for the research of Irish Migration history and researchers are always welcome to visit and use the collection and the Irish Emigration Database. CMS Vision is of ‘an informed community, confidently and creatively engaged with its migration history, culture and heritage’. CMS Mission is ‘to serve the community as a leading international institution for the study of human migration, focusing on the peoples of Ireland world-wide’.","32","1","Ulster American Folk Park","2 Mellon Road",,,"Omagh",,,"BT78 5QY","http://www.folkpark.com","http://www.librariesni.org.uk/Libraries/Pages/Mellon-Centre-for-Migration-Studies.aspx<br /><br /><br />Opening Times:<br /><br />Sat, Sun &amp; Mon: Closed<br /><br />Tue-Fri: 10.30-12.3- and 13.00-16.30","Librarian","00442882256315 ",,"mcms@librariesni.org.uk","59"
"The Ulster Folk & Transport Museum was officially established following the formal amalgamation of the Ulster Folk Museum and the transport section of the former Belfast Municipal Museum (later the Ulster Museum) in 1973, although the two had been operating together since 1967. Opening up to the public in 1964, the Ulster Folk Museum was constituted by legislation passed by the Northern Ireland Parliament in 1958. It was set up under the guidance of a Board of Trustees with the primary objective ""of illustrating the way of life, past and present, and the traditions of the people of Northern Ireland"". The Trustees were also empowered to ""take such other actions [e.g. research etc]…proper for the purpose of acquiring or disseminating knowledge of such way of life and traditions."" The Museum is based in extensive grounds purchased in 1961 and 1964 at Cultra, Co. Down and today ranks among Ireland's foremost visitor attractions. It comprises an open-air museum including a town area and three purpose-built in-door exhibition galleries. The Museum also maintains a library and research facility and operates a busy educational programme for schools. In 1998, the Museum was brought together as a national institution with the Ulster Museum, the Ulster-American Folk Park and Armagh County Museum to form the Museums And Galleries for Northern Ireland, known as MAGNI, a major network of national museums in Northern Ireland.   See also:  ""Creating Ulster's Folk Museum,"" Alan Gailey in Ulster Folklife, Vol. 32, 1986.","33",,"Ulster Folk & Transport Museum","Administration Building, Cultra, Holywood, Co Down",,,,,"6","BT18 0EU","http://www.nidex.com/uftm/","Although an admission charge is normally applicable to the Ulster Folk & Transport Museum, access to the Library is free upon prior appointment with the Librarian.  The Library is open to the general public, Monday to Friday during office hours (09.00","Head of Department of Archival Collections (Photography)","+44 (0)28 9042 8428","+44 (0)28 9042 8728","t.kenneth.anderson@talk21.com","60"
