NameID,AgentName,OldNameID
152,Belfast City Airport,615
153,Belfast Civic Arts Theatre,616
154,Belfast Corporation,617
155,Belfast Corporation,618
156,Belfast Education Authority,619
157,Belfast Harbour Airport,620
158,Belfast Harbour Airport,1965
159,Belfast Harbour Commissioners,1962
160,Belfast Harbour Commissioners,621
161,Belfast Harbour Commissioners,622
162,Belfast Harpers Festival,498
163,Belfast Harpers Society,497
164,Belfast Literary and Philosophical Society,509
165,Belfast Literary Society,510
166,Belfast Literary Society,481
167,Belfast Literary Society,623
168,Belfast Natural History and Philosophical Society,624
169,Belfast Natural History and Philosophical Society,511
170,Belfast Naturalist Field Club,2025
171,Belfast Naturalist Field Club,2031
172,Belfast Repertory Theatre Company,524
173,Belfast Rhetoric Society,625
174,Belfast Ropeworks Company Ltd,626
175,Belfast Special Constables,271
176,Belfast Sunday School Union,1863
177,Belfast Total Abstinence Society,627
178,Belfast Trades Council,628
179,Belfast Trades Council,629
180,"Bell, George Philip (1908-1982), architect",1874
181,"Bell, Sam Hanna (1909-1990), writer",630
182,"Bell, Sam Hanna (1909-1990), writer",631
183,Belmore Family,632
184,"Belshaw, R. R.",633
185,"Bence-Jones, Archibald B., d. 1937",474
186,"Benn, Edward (1798-1874), antiquarian and philanthropist",634
187,"Benn, George (1801-1882), historian and businessman",635
188,"Benn, George (1801-1882), historian and businessman",636
189,"Beresford family of Coleraine and Walworth, Co. Donegal",2086
190,"Beresford, Archbishop of Armagh",637
191,"Beresford, Lord John George de la Poer (1773-1862), Primate of all Ireland",638
192,"Beresford, Lord John George de la Poer (1773-1862), Primate of all Ireland",639
193,"Beresford, Lord John George de la Poer (1773-1862), Primate of all Ireland",640
194,"Beresford, Lord John George de la Poer (1773-1862), Primate of all Ireland",641
195,"Best Family of Aghagallon, Co. Antrim",642
196,"Best, Robert Dubourdieu",643
197,"Bigger, F.J. (1863-1926), antiquarian",644
198,"Bigger, F.J. (1863-1926), antiquarian",645
199,"Bigger, F.J. (1863-1926), antiquarian",646
200,"Bigger, F.J. (1863-1926), antiquarian",647
201,"Bigger, F.J. (1863-1926), antiquarian",648
202,"Bigger, F.J. (1863-1926), antiquarian",649
203,"Bigger, F.J. (1863-1926), antiquarian",1924
204,"Bigger, F.J. (1863-1926), antiquarian",1937
205,"Bill, Samuel A., (1864-1942) founder of the Qua Iboe Mission",650
206,"Birrell, Augustine (1850-1933), Chief Secretary for Ireland",651
207,"Blacam, Aodh",652
208,"Blacker, Colonel, William",273
209,Blackwood family,1769
210,"Blackwood, Frederick Temple (1826-1902), Lord Dufferin",653
211,"Blackwood, Frederick Temple Hamilton-Temple, 5th Baron Dufferin and 1st Marquess of Dufferin and Ava",1770
212,"Blackwood, Reginald Walter Henry (1883-1961)",654
213,"Blackwood, Reginald Walter Henry (1883-1961)",655
214,"Blackwood, Reginald Walter Henry (1883-1961)",656
215,"Blair, May",1984
216,"Blake, Robert F.(1867-1944), Public Analyst for Northern Ireland",1737
217,"Blaughdone, Barbara",657
218,"Bloch, Marcus Elieser",658
219,Bloomfield Bakery Ltd,659
220,"Blore, Edward, architect",2053
221,"Blunden, Edmund",660
222,"Blunt, Lady Anne",472
223,"Blyth, John, artist",1876
224,Board of Guardians,661
225,Board of Longitude,662
226,Boards of Guardians,663
227,"Boate, Gerard",1642
228,"Bonaparte, Napoleon (1769-1821), Emperor of France",288
229,"Borlase, William Copeland, (1848-1899)",1655
230,Botanic Gardens,664
231,"Bottomley, Gordon (1874-1948)., Poet",665
232,Boundary Commission,1745
233,"Bourke, Richard Southwell (1822-72), 6th Earl of Mayo, Chief Secretary of Ireland",666
234,"Boycott, Charles Cunningham, land agent",2052
235,"Boyd, Andrew, writer",1603
236,"Boyd, Andrew, writer",667
237,"Boyd, Andrew, writer",668
238,"Boyd, Rev. Henry, (d. 1832)",1651
239,"Bradley, Joe",1985
240,"Bradshaw, David B.",1959
241,"Brahe, Tycho",669
242,"Brahe, Tycho",670
243,"Bramhall, John (1594-1663), Bishop of Derry",671
244,"Brett, Charles",672
245,"Brett, Sir C.E.B. (1928- ), solicitor and architectural historian",1912
246,"Brett, Sir Charles, Belfast Solicitor",531
247,"Brewster, Abraham, Lord Chancellor of Ireland",673
248,"Brinkley, Dr. John",674
249,"Brinkley, Rev. John",675
250,"Bristol, Earls of",2074
251,Britannic,676
252,British Association for the Advancement of Science,677
253,British Broadcasting Corporation,678
254,British Broadcasting Corporation,461
255,British Broadcasting Corporation,540
256,British Engineers' Association,679
257,British Expeditionary Force,680
258,British Internal Combustion Engine Manufacturers' Association,681
259,British Legion,682
260,British South Africa Company,683
261,"Brooke, Charlotte",684
262,"Brooke, Cynthia, Viscountess Brookeborough",685
263,"Brooke, Gertrude Isabella",686
264,"Brooke, Henry",687
265,"Brooke, John Warden, 2nd Viscount Brookeborough",688
266,"Brooke, Julian",689
267,"Brooke, Major Francis (c 1720-1800)",690
268,"Brooke, Sir Arthur (d. 1843), General",691
269,"Brooke, Sir Arthur Brinsley (1797-1854), 2nd Baronet of Colebrooke",692
270,"Brooke, Sir Arthur, Bt. (c 1715-1785)",693
271,"Brooke, Sir Basil (1888-1973), 1st Viscount Brookborough, Prime Minister of Northern Ireland",1751
272,"Brooke, Sir Basil Stanlake (1888-1973), 1st Viscount Brookeborough, Prime Minister of Northern Ireland, 1943-63",694
273,"Brooke, Sir Basil Stanlake (1888-1973), 1st Viscount Brookeborough, Prime Minister of Northern Ireland, 1943-63",695
274,"Brooke, Sir Douglas (1865-1907), 4th Baronet of Colebrooke",696
275,"Brooke, Sir Henry (1770-1834), 1st Baronet of Colebrooke",697
276,"Brooke, Sir Victor (1843-1891), 3rd Baronet of Colebrooke",698
277,Brown Street National School,699
278,"Browne, Howe Peter (1788-1845), 2nd Marquess of Sligo",700
279,"Brownlow, Charles, Lord Lurgan",1739
280,"Brownlow, John (d.1619)",1740
281,"Brownlow, William, MP for Co. Armagh",701
282,"Bruce, Rev Sir Henry Hervey (1752-1822), 1st Bt.",2078
283,"Bruce, Sir Henry Hervey (1820-1907), 3rd Bt.",2080
284,"Bruce, Sir Henry Hervey, 2nd Bt.",2079
285,"Bryce, James (1838-1922), Chief Secretary for Ireland",702
286,"Bryson, Dr Samuel (1778-1853), surgeon and Irish scholar",703
287,"Buchanan, R.",1712
288,"Buckland, Dr, William",534
289,"Bullock, Nora",379
290,"Bullock, Shan F. (1865-1935), writer",376
291,"Bullock, Shan F. (1865-1935), writer",1586
292,"Bullock, Sydney",380
293,"Bullock, William",704
294,"Bunting, Anthony",495
295,"Bunting, Edward (1773-1843) Irish Music Collector and Musician",492
296,"Bunting, Edward (1773-1843) Irish Music Collector and Musician",705
297,"Bunting, Edward (1773-1843) Irish Music Collector and Musician",706
298,"Bunting, Edward (1773-1843) Irish Music Collector and Musician",1581
299,"Burke, Edmund (1729-1797), politician and political thinker",707
300,"Burke, Edmund (1729-1797), politician and political thinker",280
301,"Burke, Sir J. Bernard, Ulster King at Arms",708
302,"Burleigh, David, Poet",709
303,"Burn, George Adam, architect",2059
304,"Burns, Robert (1759-1796), poet",710
305,"Burns, Robert (1759-1796), poet",711
306,"Burroughs, Edward",712
307,"Butle, David (d. 1714)",2115
308,"Byers, Sir John (fl. ca. 1880-1910)",2018
309,"Byers, Sir John (fl. ca. 1880-1910)",2033
310,"Byng, General Sir John (1772-1860), Commander of the Forces in Ireland",713
311,"Byrne, Dr. P.B.",714
312,"Byrne, Dr. P.B.",715
313,"Byrne, James",2009
314,"Byron, Baron George Gordon Noel (1788-1824)",484
315,"Byron, Baron George Gordon Noel (1788-1824)",451
316,"Byron, Lady (1792-1860)",450
317,"Byron, Lady (1792-1860)",483
318,"Byron, Lady (1792-1860)",1804
319,"Byron, Lord (1788-1824)",485
320,CAIN,1573
321,"Cairns, J.E.",395
322,"Cairns, Lord, Lord Chancellor of England",716
323,"Caldwell, Mary-Anne (d. 1841)",717
324,"Caldwell, S. A. G.",718
325,"Caledon, Earls of",1752
326,Cambridge University Committee for Aerial Photographs,1915
327,"Camden, Lord Lieutenant of Ireland",719
328,"Camden, William (1551-1623)",720
329,"Campbell Brothers, glass merchants",1880
330,"Campbell, James Duncan (1833-1907) civil servant",335
331,"Campbell, James Duncan (1833-1907) Civil Servant",323
332,Canberra,721
333,"Canduff, Thomas Noel (1921-2001)",516
334,"Canning, George (1770-1827) parliamentarian",289
335,"Carey, J. W.",722
336,"Carey, J.B.",1788
337,"Carl, Francis H. (fl. 1901)",337
338,"Carleton, William (1794-1869), Irish novelist",723
339,"Carleton, William (1794-1869), Irish novelist",724
340,"Carlyle, Thomas (1795-1881), poet",491
341,"Carnduff, Mary, d. 1990",518
342,"Carnduff, Thomas (1886-1956), writer",515
343,"Carnduff, Thomas (1886-1956), writer",1591
344,"Carnduff, Thomas (1886-1956), writer",725
345,Carrickfergus Gasworks,1995
346,Carrickfergus Library,1621
347,"Carrothers, Edward Norman (1898-1977)",726
348,"Carrothers, Edward Norman (1898-1977)",727
349,"Carson, Sir Edward (1854-1935), Irish Unionist",728
350,"Carson, Sir Edward (1854-1935), Irish Unionist",729
351,"Carson, Sir Edward (1854-1935), Irish Unionist",730
352,"Carson, Sir Edward (1854-1935), Irish Unionist",731
353,"Carson, Sir Edward (1854-1935), Irish Unionist",732
354,"Carson, Sir Edward (1854-1935), Irish Unionist",733
355,"Carson, Sir Edward (1854-1935), Irish Unionist",734
356,"Carson, Sir Edward (1854-1935), Irish Unionist",735
357,"Carson, Sir Edward (1854-1935), Irish Unionist",1757
358,"Carson, Sir Edward (1854-1935), Irish Unionist",1799
359,"Carson, Sir Edward (1854-1935), Irish Unionist",2145
360,"Casement, Roger (1864-1916), Irish Nationalist",736
361,"Cassels, Richard, architect",1981
362,Castlereagh Borough Council,737
363,"Castlereagh, Chief Secretary of Ireland",738
364,"Castles, Richard, architect",1980
365,Catholic Association,739
366,Catholic Society,285
367,Catholic Telegraph,1661
368,"Cecil, Lord Hugh (1869-1956), leading Conservative politician",740
369,"Cecil, Thomas (1542-1622), Lord Burghley, statesman",741
370,Centre for Migration Studies,1632
371,Centre for Migration Studies,1629
372,"Chamberlain, Joseph, politician",1803
373,"Chamberlain, Neville (1869-1940), Conservative British Prime Minister",742
374,"Chambers, Sir William, Architect",743
375,"Chaplin, Henry (1840-1923), 1st Viscount Chaplin",2138
376,Charabanc Theatre Company,744
377,"Charlemont, Lord",745
378,"Charles I (1600-1649), King of England, 1625-1649",746
379,"Charles I (1600-1649), King of England, 1625-1649",312
380,"Charles II (1630-85), King of England",747
381,"Charles, Ven., R.H., 1855-1931, Archdeacon of Westminster",513
382,"Chart, Dr, D.A., 1st Deputy Keeper of Records, Northern Ireland",480
383,"Cherry, John B.",748
384,"Cherry, Richard Robert (1859-1923), Lord Chief Justice of Ireland",749
385,"Chichester, Rev. Edward (fl. 1814)",750
386,Chinese Government Agency,338
387,Chinese Government Agency,330
388,Chinese Imperial Maritime Customs Service,332
389,Chinese Maritime Customs,331
390,Chinese Maritime Customs,340
391,Church of Ireland,751
392,Church of Ireland,752
393,Church of Ireland,1728
394,Church of Ireland Diocese of Derry,753
395,Church Temporalities Commission,754
396,"Churchill, Sir Winston (1874-1965), British Prime Minister",755
397,"Chuter-Ede, Baron J. (1882-1965), British Home Secretary",1817
398,"Clancey, Willie",2008
399,"Clarke, Adam (1760?-1832)",1957
400,"Clarke, Austin (1896-1974), Poet",756
401,"Clarke, Major-General Sir William",757
402,Classical Association of Ireland,310
403,Clergy Orphan Society,758
404,"Clermont, Thomas Fortescue, Baron, (1815-1887)  Clermont, Thomas Fortescue, Baron, (1815-1887)",1652
405,Clifton House,759
406,Clifton House,760
407,Clogher Valley Railway,1806
408,Clokey Stained Glass Studios,1879
409,Clokey Stained Glass Studios,1871
410,Clothworkers' Company,2077
411,"Coates, Victor",761
412,Cobbet,762
413,"Cochrane, Lieutenant",763
414,"Cole Family, Florence Court, Co. Fermanagh, Viscounts Enniskillen",1978
415,Coleraine Board of Guardians (1836-1948),764
416,"Colton, Archbishop",765
417,Comber Coal Fund,766
418,Comber Unitarian/Non-subscribing Congregation,767
419,Commission for Racial Equality for Northern Ireland,768
420,Commonwealth Labour Party,769
421,Community Relations Council,1616
422,Confederation of Shipbuilding & Engineering Unions,770
423,Conflict Archive on the Internet,1574
424,"Coningsby, Thomas (1655-1729), Earl Coningsby",1969
425,"Conlon, Malachy",1819
426,Connaught Rangers,771
427,"Conolly, Thomas, 1746-1820",281
428,Constantine Curran 1880-1972,2241
429,"Conway, Cardinal William (d. 1977), Primate of Ireland",1699
430,"Conway, Edward",772
431,"Conyngham, George Butle (d. 1765)",2106
432,"Conyngham, William",2104
433,"Conyngham, William (1723-1784)",2107
434,"Cook, James, (1728-1779)",773
435,"Cooper family of Coopershill, Riverstown, near Colooney, Co. Sligo",1764
436,"Cooper, Arthur Brooke (fl. 1803)",1766
437,"Cooper, Colonel Edward",774
438,"Cooper, James Fenimore, 1789-1851, author",369
439,Cork Gazette,1662
440,"Corkery, Daniel",775
441,"Cormack, Margaret Grant",776
442,"Cornwallis, Lord Lieutenant of Ireland",777
443,"Corry Family, Barons, Viscounts and Earls Belmore",778
444,"Corry, Armar Lowry-  (1740-1802), 1st Earl Belmore",779
445,"Corry, Armar Lowry- (1870-1948), 5th Earl of Belmore",780
446,"Corry, John, Colonel (c 1643-1726)",781
447,"Corry, Lady Dorothy",782
448,"Corry, Lady Violet Lowry-",783
449,"Corry, Somerset Lowry- (1774-1841), 2nd Earl Belmore",784
450,"Corry, Somerset Richard Lowry- (1835-1913), 4th Earl of Belmore",785
451,Council for British Archaeology,1884
452,County Antrim Library Service,1792
453,County Down Spectator,786
454,"Cowan, Robert (d. 1738), Governor of Bombay, 1729-34",2129
455,"Coward, Noel",787
456,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",788
457,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",789
458,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",790
459,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",791
460,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",792
461,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",1758
462,"Craig, James (1871-1940), 1st Viscount Craigavon, Prime Minister of Northern Ireland",1805
463,"Craig, Lady Cecil (1880-1953), President of the Ulster Women's Unionist Council",1846
464,"Craig, Lady Cecil (1880-1953), wife of Lord Craigavon and president of the Ulster Women's Unionist Council",793
465,"Crean, Gerald",1986
466,"Creighton family, Earls of Erne",2051
467,"Croften Croker, Thomas",794
468,"Croker, T. Crofton",795
469,"Croker, Thomas Croften",796
470,"Crolly, William, Archbishop of Armagh, 1835-1849",1690
471,"Cromwell, Oliver (1559-1658), Lord Protectorate of England, 1649-1648",313
472,"Crone, J.S. (1858-1945)",797
473,"Crone, J.S. (1858-1945)",798
474,"Crone, John Smyth (1858-1945), editor",799
475,"Crone, John Smyth (1858-1945), editor",800
476,"Crossle, Dr. Francis",801
477,"Crossle, Dr. Francis",802
478,"Crossle, Dr. Francis",1658
479,"Crossle, Philip",1659
480,"Crossle, Philip",803
481,"Crossle, Philip",804
482,"Crowe, Sir, Eyre Alexander Barby Wichart, 1864-1925, diplomat",360
483,"Crymle, Charles (1673-1775), landowner, Ballygallagh, Co. Antrim",805
484,Cuala Press,371
485,Culdaff Parish Church,806
486,"Cullen, Paul, Archbishop of Armagh, 1849-1852",1691
487,"Cullen, Paul, Archbishop of Dublin",807
488,"Cummins, Geraldine (1890-1969), spiritualist medium and writer",2227
489,"Curl, James, photographer",1905
490,"Curtis, Liz",808
491,"Curtis, Patrick, Archbishop of Armagh, 1819-1832",1688
492,"Cusack, Niall",1987
493,"Cuyler, General Cornelius",809
494,Cuyler's Shropshire Volunteers,810
495,Daily Telegraph,811
496,"D'Alton, Cardinal John, Primate of Ireland, 1946-1963",1698
497,"Dance, George (1741-1825), architect",2135
498,"Darling, Arthur, surveyor",812
499,"Davenport, Revd. William",813
500,"Davies, Oliver",814
501,"Davis, Henry (1897-1977)",815
502,"Davis, Henry (1897-1977)",816
503,"de la Mare, Walter (1873-1953), poet",817
504,"de la Mare, Walter (1873-1953), poet",818
505,"de la Mare, Walter (1873-1953), poet",819
506,de Roos Family,1967
507,de Ros Family,1968
508,"de Valera, Eamon (1882-1975), Statesman and President of Ireland",1815
509,"de Valera, Eamon (1882-1975), Statesman and President of Ireland",429
510,Defence Heritage Project,1885
511,Defence of Britain Project,1886
512,"Delargy, Hugh, Secretary, Friends of Ireland",1821
513,"Delesse, G.A.",507
514,"Delisle, G., (1675-1726)",820
515,"Despard, Charlotte (1844-1939), suffragette, pacifist, Irish republican and socialist",821
516,"Destelan, H. Picard, civil servant",345
517,"Devine, Paula",1677
518,"Devlin, Joseph (1871-1934), Nationalist MP",1749
519,"Devlin, Lords",2165
520,"Dewall, Wolf",347
521,"Dickens, Charles",1707
522,"Dill, Rev Richard (of Dublin)",822
523,"Dill, Sir Samuel (1844-1924),",307
524,Diocesan School of Derry,823
525,"Diskin, Gabriel, journalist",1824
526,"Disraeli, Benjamin (1804-1881), Prime Minister of Great Britain",824
527,"Dixon, Joseph, Archbishop of Armagh, 1852-1866",1692
528,"Dobbin, Leonard, Irish Solicitor",825
529,"Dobbs, Arthur (1689-1765), Governor of North Carolina",826
530,Donaghadee Community Workforce,2011
531,"Dougherty, Sir John B. (1840-1924), Under Secretary for Ireland",827
532,"Douglas, Lord, Alfred, 1870-1945",419
533,"Douglas, William (b. 1921), General Secretary of the Ulster Unionist Council, 1941-63",2189
534,"Dowling, Richard (1849-98)",828
535,Down Democrat,829
536,Down District Council,830
537,Down Recorder,831
538,"Downey, Frank",1991
539,"Downham, George",832
540,Downpatrick Bluecoat School,833
541,"Downshire, Marquesses of",1974
542,"Doyle, Lynn (Pseud. Leslie Alexander Montgomery)",834
543,"Doyle, Lynn C. (Pseud. Leslie Alexander Montgomery)",835
544,Drapers' Company,1977
545,"Drennan, William",1650
546,"Dreyer, J.L.E.",836
547,"Dreyer, J.L.E.",837
548,"Dreyer, J.L.E.",838
549,"Dreyer, John Louis Emil",839
550,"Du Bordieu Family of Aghagallon, Co. Antrim",840
551,"Du Bordieu, Jean Armand, Rev.",841
552,"Du Bordieu, John, Rev.",842
553,Dublin Evening Mail,1663
554,Dublin Evening Post,1664
555,Dublin Institute of Technology.,2263
556,"Dubourdieu Family of Aghagallon, Co. Antrim.",843
557,"Dubourdieu, John, Rev. (1755-1839), author",844
558,"Duff, Thomas, architect",2061
559,"Dufferin, Lady Hariot",1771
560,"Dufferin, Lady Helen",1772
561,"Duffy, Charles Gavin",845
562,"Duffy, Joan",1992
563,"Duffy, Terence",1993
564,"Dukart, Davis, Engineer and Architect",846
565,Dun Emer Press,375
566,"Duncannon, Lord",440
567,"Duncannon, Lord",847
568,"Dundas, W. H.",848
569,Dungannon Development Association,2012
570,"Durcan, Paul",849
571,"Earnshaw, Thomas",850
572,Eason & Son Ltd,1774
573,"Eason, Charles (1823-1899), businessman",1773
574,"Eason, Charles (1853-1941), businessman",1775
575,East India Company,2072
576,East India Company,2134
577,"Eden, Sir Anthony (1897-1977), British Foreign Secretary",851
578,Edenderry Nursery School (est. 1937),852
579,"Edgeworth, Lucy Jane",853
580,Educational Guidance Service for Adults,1617
581,Edward VII,2148
582,"Edward VII (1841-1910), King of England",854
583,"Ehret, Georg Dionysius",855
584,"Eliot, George",1713
585,"Eliot, Harriet (d. 1769)",856
586,"Elliot, T.S. poet",857
587,"Elliott, Daniel Giraud, (1835-1915)",858
588,"Elson (nee Bullock), Nora",378
589,"Emerson, Ralph Waldo, 1803-1882, poet",488
590,Emmet Dr Thomas Addis,859
591,Empire Theatre,860
592,Empire Theatre,861
593,Empire Theatre,525
594,Engineering & Allied Employers' National Federation,862
595,"Ennis, Seamus",2007
596,Enniskillen District Orange Lodge,863
597,Enniskillen Library,1637
598,"Enniskillen, Viscounts",1979
599,Environment & Heritage Service,1681
600,Environment And Heritage Service for Northern Ireland,1680
601,Environment And Heritage Service for Northern Ireland,1906
602,Environment And Heritage Service for Northern Ireland,1914
603,Environment And Heritage Service for Northern Ireland,1887
604,Environment And Heritage Service for Northern Ireland,1892
605,Environment And Heritage Service for Northern Ireland,1901
606,Environment And Heritage Service for Northern Ireland,1903
607,Environment And Heritage Service for Northern Ireland,1883
608,Environment And Heritage Service for Northern Ireland,1866
609,Environment And Heritage Service for Northern Ireland,1868
610,Environment And Heritage Service for Northern Ireland,1870
611,Equal Opportunities Commission for Northern Ireland,864
612,"Erne, Earls of",2050
613,"Ervine, St John Greer (1883-1971), playwright and novelist",865
614,"Ervine, St John Greer (1883-1971), playwright and novelist",866
615,"Ervine, St John Greer (1883-1971), playwright and novelist",867
616,"Ervine, St. John Greer (1883-1971).",1640
617,European Commission,868
618,"Evans, E. Estyn",869
619,"Evans, Sir Francis, Col.",870
620,"Ewart, Lavens M. (1845-1898)",871
621,"Ewart, Lavens M. (1845-1898)",1598
622,Fair Employment Commission,872
623,"Falls & Hanna, Solicitors, Co. Fermanagh",1777
624,Falls Community Council,1641
625,"Falls Foundary, Belfast",873
626,"Falls, Major Sir Charles Fausset (1860-1936), solicitor and politician",1778
627,"Falls, Sir Cyril, historian",874
628,"Faraday, Michael (1791-1867)",501
629,"Faraday, Michael (1791-1867)",407
630,Farcet Youth and Community Development Ltd.,2013
631,"Faris, C.",875
632,"Farrell, William, 19th century architect",876
633,"Faulkner, Brian (1921-1977), Prime Minister of Northern Ireland",1750
634,"Fay, Professor Charles Ryle (1884-1961), economic historian",877
