CollectorID,CollectorName,CollectorOrganisation,CollectorRole,CollectorHistory,OldCollectorID,OldCollectionID
17,"Bullock, Shan F. (1865-1935)",0,Writer,"b. 1865, Crom, Co. Fermanagh, as John William Bullock (later changing his name to Shan Fadh Bullock after a title-character in William Carleton), son of Thomas Bullock, farmer and bailiff to the Earl of Erne/Fermanagh. Ed. Farra School, Co. Westmeath. After a short spell working on his father’s farm moved to London where he spent his working life as a civil servant. Enjoyed 30 years of literary success from 1893 with the publication of his first collection of short stories, ‘The Awkward Squad.’ A prolific writer, Bullock was responsible for more than 20 titles including novels, volumes of stories, books of verse and biographies. He is generally noted for his ability to portray both Catholics and Protestants in his novels with sympathy and open-mindedness not often shown by other Northern writers. D. 1935, Cheam, Surrey. Publications include: The Awkward Squads and Other Stories (London: Cassell 1893); By Thrasna River; The Story of a Townland, given by one John Farmer and ed. by his friend (London: Ward, Lock &amp; Bowden 1895); Ring o’ Rushes (London: Ward, Lock &amp; Bowden 1896); The Charmer (London: Bowden 1897); The Barrys (London: Harper 1899); Irish Pastorals (London: Grant Richards; NY: McClyre, Phillips 1901); The Squireen (London: Methuen 1903); The Red-Leaguers (London: Methuen 1904); Dan the Dollar (Dublin: Maunsel 1906); The Cubs (London: Laurie 1906); Robert Thorne, The Story of a London Clerk (London: Laurie 1907); A Laughing Matter (London: Laurie 1908); Master John (London: Laurie 1909); Hetty, The Story of an Ulster Family (London: Laurie 1911); Thomas Andrews, Shipbuilder [preface by Sir Horace Plunkett] (Dublin &amp; London: Maunsel 1912), The Races of Castlebar (London: John Murray 1913) with Emily Lawless; Mr. Ruby Jumps the Traces (London: Chapman &amp; Hall 1917); Loughsiders (London: Harper 1924).; Gleanings (Surrey: William Pile 1926); Mors et Vita, foreword by AE [George Russell] (London: Werner Laurie 1923); After Sixty Years, with a foreword by Sir Horace Plunkett (London: Sampson, Low, Marston &amp; Co. 1931). Sources: Dictionary of Ulster Biography (Belfast 1994) http://www.lib.udel.edu/ud/spec/findaids/ulster.htm",36,45
43,"Bunting, Edward, (1773-1843)",0,,"Edward Bunting (1773-1843) is remembered as the foremost collector of Irish folk music of his age. A capable musician in his own right (he had, by the age of 11, begun to deputise as organist at St. Anne's Cathedral, Belfast), he was responsible for recording, for the first time, the repertoire of the traditional Irish harpist. Engaged on this service by the organisers of the Belfast Harper's Festival of 1792, he spent the next number of years touring the length and breadth of Ireland talking to the principal harpists of his generation, most notably Arthur O'Neill of Co Tyrone and Denis Hempson of Magilligan, Co. Derry, transcribing their sounds and songs for posterity. His seminal collection of Irish airs was then published in 1796 with subsequent revisions appearing in 1802 and 1840. Married in Belfast in 1819, Bunting shortly moved with his family to take up his responsibilities as organist of St. George's Church, Dublin. He died in that city on 21st Dec 1843 and is buried at the Cemetery of Mount Jerome. Publications: A general collection of the ancient Irish music (1st edition, 1796; 2nd ed., 1809, 3rd ed., 1840).",63,70
367,"Byers, John, Sir (fl. ca. 1880-1910)",0,Private Collector,"The collection was compiled by Sir John Byers during his lifetime arising from his personal interest in Northern Ireland speech, proverbs and folklore. It was deposited on permanent loan at the Ulster Folk &amp; Transport Museum in 1965 by Byers's son, John Stafford Reid Byers to ensure its permanent preservation.",412,706
488,"Cairnes, John Elliott",0,,,,
454,Caldwell Family of Newgrange,0,Private family,"<p>The collection was most likely put together and added to by Charles Benjamin Caldwell, who had an interest in his family’s history. He gathered the material from a number of locations in the late 1800s and in doing so he also collected primary material relating to the Caldwells of Castle Caldwell and the Abdy and Gordon families and also secondary material of genealogical interest such as transcripts supplied by the College of Arms in London, newspaper clippings, extracts from church registers etc. His wife, Sophia Frances née Cust appears also to have collected family papers which accounts for the presence of correspondence and other papers of members of the Cust and Brownlow families.</p>",,
191,"Caldwell, S. A. G.",0,Private collector,"Mr S. A. G. Caldwell from Newcastle, County Down was employed in the linen industry for many years. He had an abiding interest in Irish literature and this is reflected in the collection he donated to the Linen Hall Library.",230,553
46,"Carnduff, Thomas Noel (1921-2001)",0,,"Late son of the Shipyard poet, Thomas Carnduff (1921-2001)",66,73
192,"Carrothers, Edward Norman (1898-1977)",0,Private Collector,"E.N. Carrothers (1898-1977) was born in Belfast. He worked for the LMS railway, and later for the Ulster Transport Authority, where he was advertising manager. He is best known, however, as a botanist and was a very active member of the Belfast Naturalists Field Club. Carrothers was an avid collector, Victoriana being one of his favourites. He was friendly with R. L. Praeger and is mentioned in his book ""Some Irish Naturalists"".",231,506
307,"Carson, Edward, Rt. Hon. Sir (1854-1935)",0,,"The Rt Hon Sir Edward Henry Carson, born in 1854 in Dublin, educated at Portarlington School and Trinity College Dublin, had a distinguished career in the law: he was called to the Irish Bar in 1877 and the English Bar in 1893; became QC in Ireland in 1889 and England in 1894; was Solicitor General for Ireland in 1892 and for the UK in 1900-6; was knighted in 1900; was Attorney General in 1915-16 and First Lord of the Admiralty in 1917. He was MP for Dublin University 1892-1918 and Duncairn Division, Belfast 1918-21. He was acknowledged a leading advocate after his part in the libel action brought by Oscar Wilde against the Marquess of Queensberry in 1895. He was elected leader of the Irish Unionists in the House of Commons in 1910 to oppose Home Rule and worked tirelessly for the exclusion of Ulster from the Home Rule Bill to the extent of involvement in the Curragh incident and gun-running at Larne (1914). He was Lord of Appeal in Ordinary 1921-9 and became a life peer under the title Baron Carson of Duncairn. He died in Kent in 1935 and after a state funeral in Belfast was buried in St Anne's Cathedral.",350,652
45,"Charles, R.H., Ven. (1855-1931)",0,Academic,"Born 6 Aug 1855, Cookstown, Co. Tyrone. Educated at Belfast Academy, Queen's College Belfast (Classics, 1874-80), and Trinity College Dublin (Classics and Theology). Ordained Deacon in 1883 and Priest in 1884. Married to Mary Lilias, 1886, no children. Served several curacies in England from 1883 to 89 before turning to academia in 1890. His studies focused on the religious developments within Judaism in the period between the Testaments, concentrating particularly on the exposition of the Apocalyptic literature, both Christian and Jewish. Charles's work attracted a great deal of attention during his lifetime, becoming a leading authority on his chosen specialisms. He became Professor of Biblical Greek at Trinity College Dublin (1898-1906), the Grinfield lecturer on the Septuagint (1905-11), Speaker's lecturer in Biblical Studies at Oxford (1910-14), Warburton lecturer in Lincoln's Inn Chapel from 1919, and Schweich lecturer of the British Academy (1919-20). He was also elected a fellow of the British Academy in 1906 and of Merton College, Oxford in 1910. In 1925 he was the first recipient of the British Academy Medal for Biblical Studies. Charles also received honorary degrees from the universities of Belfast in 1923 and Oxford in 1928 in recognition for his work. In 1913 he was appointed a canon of Westminister, becoming archdeacon later in 1919. He died at his home in Little Cloisters on 30 January 1931. Publications: Book of Enoch (1893, 2nd ed. 1912); Apocalypse of St John ( 2 vols., 1920); Critical and Exegetical Commentary on the Book of Daniel (1929); Book of Jubilees (1895); Enoch (1906); The Testaments of the Twelve Patriarchs (1908); The Apocrypha and Pseudepigrapha of the Old Testament in English (2 vols., 1913); A Critical History of the Doctrine of a Future Life in Israel in Judaism and in Christianity (1899, 2nd revised and enlarged ed., 1913); Religious Development between the Old and the New Testaments (1914); Chronicle of John, Bishop of Nikiu (1916)",65,72
523,"Clarke, Thomas",0,Revolutionary leader,"Born on the Isle of Wight in 1858, Clarke's father was in the British Army. The Clarkes emigrated to South Africa and stayed there for about 10 years before moving to Dungannon, Co. Tyrone, Ireland. Clarke stayed in Dungannon until moving to the United States in 1878, where he joined Clan na Gael, the American wing of the Irish Republican Brotherhood (IRB). In 1883, Clarke and Thomas Gallagher were sent to England on a dynamiting mission. Both were arrested and sentenced to life imprisonment for treason. Clarke was released in 1898, returned to Ireland but was unable to find work so returned to the US in 1900. He resumed his activities with Clan na Gael, working on the Gaelic American. In 1901, he married Kathleen Daly. They returned to Ireland in 1907 and established a newspaper and tobacconist shop in Dublin. Clarke worked to reorganize the IRB and was elected to the Supreme Council. In September 1915, he was admitted into the IRB's secret Military Council and presided over the meeting that decided to proceed with the Easter Rising. As the oldest member of the Provisional Government and a Fenian, Clarke was the first signatory of the 1916 Proclamation of the Irish Republic. He fought in the General Post Office (GPO) during Easter week and was court-martialed on May 1, 1916. He was executed by firing squad on May 3.",,
526,Comhaltas Ceoltóiri Éireann,0,,"Comhaltas Ceoltóiri Éireann (CCÉ) was founded in Dublin, Ireland in 1951 to promote Irish music, song, dance, and language. In January 1951, members of the Thomas Street (Dublin) Pipers' Club met in County Westmeath to form an organization to promote Irish traditional music and to plan an annual festival of Irish music, song and dance. The first Fleadh Cheoil (music festival) was held in Mullingar in May 1951, and the first officers of Cumann Ceoltóirí na hÉireann were elected on October 14, 1951 in Dublin. The following year, the organization changed its name to Comhaltas Ceoltóiri Éireann. After five years, the annual Fleadh had grown to a major national festival featuring performances from traditional musicians, singers, and dancers from throughout Ireland. There are currently branches of Comhaltas Ceoltóiri Éireann in every county in Ireland, sponsoring classes, concerts and cultural events in local communities. There are over 400 branches of Comhaltas Ceoltóiri Éireann worldwide including more than 50 branches in North America. Comhaltas Ceoltóiri Éireann's North American Province was established in Chicago in 1972.  CCÉ North America is organized into seven regional branches: Canada East, Canada West, Mid-Atlantic, Midwest, Northeast, Southern and Western.",,
324,"Connolly, A. E. (Decd.)",0,,"Former resident of 'Darrigcluid', Church Road, Newtownbreda, Belfast. Now deceased.",367,669
195,"Craig, Denis, The Hon., MBE",0,,"The Hon. Denis Craig, MBE, descendent of Viscount Craigavon.",234,455
377,"Creighton Family, Earls of Erne",0,,"In 1613 James and/or Thomas Creighton bought the proportion of Aghalane, near Crom, where he built a castle in 1615. Through marriage and other means of acquisition of land, the freehold of Crom was granted to Abraham Creighton in 1665. The Creightons were created Earls Erne in 1789, from 1842 calling themselves Earls of Erne. They held high public office, were members of Parliament and military men, served and died in the 20th century World Wars. Lieutenant Col. John, 3rd Earl of Erne, 1802-1885, was a keen agriculturist and set up an agricultural museum in Lisnaskea in 1839. By the end of 1850 his model farm complex at Crom was the best equipped in the country, with baths for the pigs. In 1884 it had the first silo in Ireland. He was interested in railways but most of all in yachts and yachting. The yacht club at Crom was the heart of all sailing activities for which Lough Erne was world famous. The large bulk of the Erne estates were sold by the 4th Earl between 1904 and 1909 under the Land Act of 1903. Part of the demesne was sold to the Department of the Environment in 1980; in 1987 the National Trust acquired the rest of the demesne in part as a gift, the castle being retained by Henry George, 6th Earl of Erne, Lord Lieutenant, JP, who resides there at the start of the 21st century.",422,716
223,"Crone, John Smyth (1858-1945) ",0,Editor,"John Smyth Crone was born in Belfast in 1858. Crone practised medicine in London and was president of the Literary Society there between 1918 and 1925. He founded and edited the journal ""The Irish Book Lover"" and wrote ""A Concise Dictionary of Irish Biography"" a s well as ""Henry Bradshaw: his life and works"". He died in 1945.",262,572
282,"Crossle, Francis and Philip ",0,Private Researchers,"Dr. Francis Crossle and his son Philip were responsible for considerable research on local family histories in the early 20th century. Dr Francis Crossle started by copying genealogical information from old newspapers which were in Newry library into large scrapbooks. His son, Philip Crossle transferred some of his father's findings into notebooks dedicated to particular family surnames. Philip Crossle carried out this work in the 1910s.",323,629
527,"Cummings, Michael",0,,Founded the Patrick S. Gilmore Society in Boston in 1969.,,
212,"Davis, Henry (1897-1977)",0,Private Collector,"Henry Davis (1897-1977) was a businessman who owned factories in London and Belfast, making telephone cable. In order to provide himself with an interest in his retirement he began to collect old books. Initially his interest lay primarily with fine bindings, but this soon included the subject matter of the books too. He left part of his collection to the New University of Ulster, which was established in Coleraine in 1968, to mark his enjoyment of his time in Northern Ireland.",251,509
519,"Dawe, Gerald",0,Author,"Irish poet and literary editor, Gerald Dawe, was born in Belfast in 1952. He worked for a brief time as a librarian before moving on to Galway in 1974 where he lived and worked for many years. Dawe is a founding editor of the arts review Krino. Besides being a noted poet and editor, Dawe has also published collections of his own essays and reviews. He currently teaches in Trinity College, Dublin.",,
520,"Deane, John",0,Poet,"Irish poet, author and editor. John Deane was born on Achill Island in Ireland in 1943. He founded the organization Poetry Ireland in 1978 and launched The Poetry Ireland review a year later. In 1984, Deane established the Dedalus Press.",,
200,"Dobbs, A.F., Major ",0,,Descendant of Arthur Dobbs (1689-1765).,239,458
513,"Douw, Judith Schmidt",0,Secretary,"<p>Judith Schmidt Douw was born Judith Schmidt in 1926. She began working at Grove Press in 1955 as Barney Rosset's secretary. During her time at Grove Press, she befriended both Samuel Beckett and Alan Schneider, American director and Beckett's friend. Judith Schmidt married John de Peyster Douw in 1970. That same year she left Grove Press to work on the presidential campaign of Eugene McCarthy.</p>",,
361,"Downshire, Marquesses of ",0,,"The Hills had become well established by the end of the 17th century, and most of them were eminent public figures, members of the Irish parliament and Privy Council. Wills Hill, who succeeded his father Trevor Hill, 1st Viscount Hillsborough in 1742, was the most distinguished public figure in the family's history. Like his father Governor of the county and an Irish Privy Councillor, he was known as courtier and politician on a wider stage, serving in several of George III's early ministries, notably at the Colonial Office during a crucial period in relations between the king and his American subjects. Successive steps in the peerages of Great Britain and Ireland were crowned in 1789 by the title of Marquess of Downshire in the Irish peerage. Apart from the estates at Blessington and Loughbrickland which came to him by inheritance, he established the nucleus of the Banbridge estate by purchasing four townlands in 1749 from Richard Whyte. The subsequent growth of Banbridge as a centre of the linen trade was greatly fostered by the new landlord's encouragement, an encouragement also exercised on a national scale as a member of the Linen Board. A man of some taste and culture, Wills Hill was responsible for rebuilding the mansion at Hillsborough, along with the parish church and most of the village. He died in 1793. Family fortunes declined after 1845, rents were reduced after application of the Land Act in 1881 and the estates were largely dissolved under the later land acts at the beginning of the 20th century.",405,700
450,Dublin Unitarian Church,0,Religious congregation,,,
323,"Dunluce, Viscount",0,,"The Viscount Dunluce (b. 1967) of Glenarm Castle, Glenarm, Co. Antrim is the legal descendent of Sir Schomberg Kerr MacDonnell (1861-1915), civil servant and fifth son of the 5th Earl of Antrim. Schomberg was Private Secretary to Robert Cecil, Lord Salisbury, 1888-1902; Secretary of the Office of Works, 1902-12; he served in the Boer War with the City of London Volunteers and in World War I with the 5th Cameron Highlanders during which time he was mortally wounded at Flanders.",366,668
201,"Ellis, W.K.",0,,"Late resident of Clonleigh, Co. Donegal. No further details available.",240,459
278,"Ervine, St John Greer (1883-1971)",0,Playwright and novelist,"St John Greer Ervine (1883-1971) was a dramatist, novelist and critic. He was born in Ballymacarrett, Belfast. Both of his parents were deaf mutes and his maternal grandmother had a great influence on his early life. She had a shop on the Albertbridge Road and it is here that he absorbed much to influence his later works. He is recognised as a keen observer of life in East Belfast protestant community. He worked initially in an insurance office in Belfast from the age of fourteen and three years later moved to London to take up a simialr position there. He was a great admirer of Shaw and became a member of the Fabian Society. He so impressed Yeats with his first play (""Mixed Marriage"") that it was produced in the Abbey in 1911. He later became manager of the Abbey, but this was a shortlived and stormy relationship, not helped by his intense unionism at the time of the Easter Rising in 1916. He joined the Dublin Fusiliers and fought in World War I. He was badly wounded and had to have a leg amputated. After the war he moved to England, where he worked as a critic for the Morning Post asnd the Observer. Along with his plays he wrote two novels of note - ""The Foolish Lovers"", 1920 and ""The Wayward Man"", 1927. His other works are heavily imbued with a bias for all things northern and unionist. His work is not remembered best for its social realism or artisitc ability but more for its strong bias. He was also responsible for a massive biography of Bernard Shaw.",319,68
228,"Ewart, Lavens M.(1845-1898)",0,Private collector,"Lavens M. Ewart (1845-1898) was the second son of Sir William Ewart, bt, M.P. He was born in Belfast in 1845 and entered the family's linen business. Throughout his life he collected a fine library of Irish books and books dealing with the linen industry. He helped found the second series of the ""Ulster Journal of Archaeology"". He was a generous benefactor of the Linen Hall Library in Belfast and worked closely with its librarian, John Anderson. Ewart's interest in local bibliography and early Belfast printing is reflected in his collection at the Linen Hall Library, where he was Governor of the Library. Ten years after his death his personal library was given on loan to the Linen Hall Library and in 1954 it became the property of the Linen Hall Library.",267,537
235,"Fay, Charles, Professor (1884-1961)",0,Academic,"Born 13 February 1884, only son of Charles and Emily Fay, educated at Merchant Taylor's School, Crosby, King's College, Cambridge. Professor of Economic History, University of Toronto, 1921-30, reader in Economic History, University of Cambridge, from 1931. During World War 1 he served as a lieutenant in the Buffs and Machine Gun Corps, 1915-18. He was married to Alice Quendryth Hartland and when he died on 19 November 1961 having spent his final years in Cyprus Park, Belfast. He was survived by three sons.",274,460
40,"Ferguson, Godfrey W. (d.c. 1939)",0,,"Belfast J.P. and President of the Belfast Literary Society, 1922-23 and 1934-5. d. c. 1939/40. No other details available",60,65
247,"Ferguson, Samuel, Sir (1810-1889)",0,Writer,"Sir Samuel Ferguson, (1810-1889) was educated at Belfast Academical Institution and later at Trinity College Dublin. He left Trinity before graduation due to his father's dwindling finances. He later financed his legal education by writing. He contributed regularly to Blackwood's Magazine, Dublin University Magaine and a number of others. He was called to the Irish Bar in 1838. He continued to publish regularly. Ferguson was Keeper of Dublin records in 1867, elected Vice-President of the Royal Irish Academy and Chairman of the Manuscripts Committee in 1876 and President of the RIA in 1882. He was knighted in 1878.",286,538
5,"Foster, John, 1st Baron Oriel (1740-1828)",0,Irish Politician,"b. Collon, Co. Louth, 1740. Irish Politician. Entered the Irish House of Commons in 1761 as member for Dunleer, Co. Louth. Succeeded to family seat for Co. Louth in 1768, which he represented continuously until his elevation to the UK peerage in 1821 as Baron Oriel. Served in a number of key offices including Chairman of the Committee of Supply and Ways and Means, 1777-84, Chanceller of the Irish Exchequer, 1784-5, 1804-6 and 1807-11, and Speaker of the Irish House of Commons, 1785-1800. Opposed Catholic Emancipation and was an influential opponent of the Act of Union. D. Collon, Co. Louth, 1828. Sources: Concise Dictionary of Irish Biography, John S. Crone (Dublin, 1928) http://www.proni.gov.uk/foster-massereene_papers_summary.pdf",23,17
492,Franciscans,0,,,,
517,"Freedman, Samuel N. ",0,,,,
206,"Gamble, Frederick ",0,Journalist and writer.,Frederick Gamble was a writer and journalist. He sometimes wrote under the pseudonym of John Pepper. He wrote a column on the Ulster dialect in which he had a tremendous interest.,245,575
185,"Gardiner, C.R. ",0,,Descendant of George and Edward Benn.,224,452
231,"Gardiner, Mary ",0,Headmistress,"Mary Gardiner was Headmistress of Downey House, at Methodist College, Belfast.",270,576
190,"Gibson, Andrew (fl. 1904-1927) ",0,Private Collector,"Andrew Gibson (fl. 1904-1927) was a noted collector and Governor of the Linen Hall Library. Originally from Ayreshire, he settled in Belfast eventually becoming a Governor of the Linen Hall Library, President of the Belfast Scottish Association and Fellow of the Royal Society of Antiquaries, Ireland. He was one of the organisers of the Second Belfast Harp Festival in 1903. Gibson was also a member of the Irish Folk Song Society. He was a Burns enthusiast and collected approximately 2000 volumes of Burns and Burns related material. His collection of Burns and Burnsiana was purchased by public subscription in 1901 for the Linen Hall Library.",229,534
446,"Gilbert, Stephen",0,Novelist,,,
461,"Graves, Rev. Charles",0,Irish Antiquarian,Rev. Charles Graves (1812-1899),,
460,"Graves, Rev. James",0,Irish Antiquarian,Rev. James Graves (1815-1886),,
241,"Greacan, Robert (b. 1920)",0,Writer,"Robert Greacen was born in Derry in 1920. He spent part of his childhood in Belfast and Monaghan, he was educated at Methodist College, Belfast and later at Trinity College Dublin. He left Belfast for good in 1943. He worked at the United Nations Association in London and also as a teacher, he retired to Dublin in 1988. Greacen was elected as a member of Aosdána, the Irish Academy of the Arts. He started to write the 1940's, publishing poems, book reviews and articles in The Bell (Dublin) and Horizon (London). He published two collections of poetry - one in 1944 and the other in 1948. In 1949 he edited an anthology of poetry with Valentin Iremonger. His poetry includes One Recent Evening, The Undying Day, Young Mr. Gibbon, A Garland For Captain Fox, A Bright Mask, Carnival at the River, Protestant Without A Horse and Ecstasy. He also published books on Noel Coward and C.P. Snow and two volumes of memoirs, Even Without Irene and The Sash My Father Wore. In 1995 he won the Irish Times Poetry Award.",280,539
