OwnerID,OwnerName,OwnerOrganisation,OwnerRole,OwnerTelephone,OwnerFax,OwnerEmail,OwnerHistory,OldCollectionID,OldOwnerID
37,Armagh County Museum,1,National Museum,+44 (0)28 3752 3070,+44 (0)28 3752 2631,acm.um@nics.gov.uk,"Armagh County Museum is situated on the Mall, in the centre of Armagh city.  Opened in 1937 by Armagh County Council it is the oldest County Museum in Ireland.  The collections of the museum are based on specimens gathered by the Armagh Natural History and Philosophical Society during the 19th century (1839).  The exhibitions reveal the rich and varied history of the County, ranging from prehistoric artefacts to more recent material.  As well as permanent displays of military coustumes, wedding dresses, ceramics, natural history specimens, railway material and household items, special temporary exhibitions are held throughout the year.  There is an extensive reference library and photographic and map collections.  The reference library was assembled initially by the first curator T. G. F. Paterson.  The museum is now a branch of Ulster Museum in Belfast.",3,12
95,Armagh Observatory,2,Observatory,+44 (0)28 3752 2928,+44 (0)28 3752 7174,library@star.arm.ac.uk,"The Armagh Observatory, founded in 1790 by Archbishop Richard Robinson, is the oldest continuously functioning astronomical research institute in Great Britain and Ireland. It stands close to the centre of the historic City of Armagh in attractive, landscaped grounds that include a scale model of the solar system and universe, known as the Armagh Astropark, and the Armagh Planetarium. The Observatory's main function is to undertake original research of a world-class academic standard which broadens and expands our understanding of astronomy. Current programmes, which have many practical applications, include investigations into the Sun and other stars, solar system astronomy, solar variability and the Earth's climate, and the Near-Earth-Object hazard to civilization. The Observatory also has a unique 200-year long meteorological record, the longest in the UK and Ireland from a single site. Full details of the Observatory's current research programmes are available from the web-site: <a href="" http://star.arm.ac.uk/"" target=""new_window""> http://star.arm.ac.uk/</a>. Complementing this active research role, the Observatory is committed to a programme of public understanding of science. This includes visitors, primarily to the Armagh Astropark; presentations to groups; contacts with the press; and the development of a rich web-site to facilitate access to the latest research findings. The Observatory grounds and Astropark are open to the public. School, society, and general public tours of the Observatory may be arranged by appointment.",407,72
96,Governors and Guardians of Armagh Public Library,3,Independent Library,+44 (0)28 37523142,,admin@armaghpubliclibrary.co.uk,"Armagh Public Library was founded in 1771 by Archbishop Richard Robinson. The core part of the collection is the Archbishop's personal library. This was later added to in the 1830s by Archbishop Beresford. Other provenances associated with the collection held at the Armagh Public Library include Edward Conway, 2nd Viscount Killultagh (d. 1655, 60 v), J. E. Jackson, Dean of Armagh (d1841, 300 v), H. B. Swanzy, Dean of Dromore (d. 1932, 460 v), R. G. S. King, Dean of Derry (d. 1958). In the 1990s there was a campaign to clean and re-catalogue the entire library stock. The collection is now catalogued and available online. There is a continuous programme of improvement, conservation and preservation in place now.",488,73
79,BBC Northern Ireland Archive,5,Public Service Broadcaster,+44 (0)8700 100 222,,,"Regional branch of the BBC (British Broadcasting Corporation) established in Belfast in 1924.\n\nSee also: \nR. Cathcart, The Most Contrary Region (1984); \nJ. Bardon, Beyond the Studio (Blackstaff Press, 2000)",77,56
80,"Belfast Central Library, Libraries NI",6,Public Library,+44 (0)28 9050 9150,+44 (0)28 9031 2886,buis@libraries.belfast-elb.gov.uk,"Belfast Central Library was opened in October 1888 by the Lord Lieutenant of Ireland, the Marquis of Londonderry.  The building was designed by the eminaent architect W. H. Lynn.  The Newsroon (newspaper reading room) was the first part of the Library to be opened to the public, this was followed a month later by the opening of the Lending Library.  The Reference Library was stocked and opened to the public in late 1889.Sir James Henderson donated 3,000 volumes to the Reference Library and a further 8,000 were selected with advice from the professors of Queen’s College (Queen’s University Belfast).  A printed catalogue of the Library appeared in 1896.  Belfast Central Library was granted United Nations depository status in 1956 and HMSO depository status in 1961.Today the stock in Central Library exceeds one million items and includes books, maps, newspapers, patents, sound recordings and government and agency publications. Much of the material in the various collections is listed on computer, while access to other sources is provided by CD Rom facilities and on-line access to more than 400 databases worldwide.",584,57
196,Craigavon Museum,10,Museum,+44 (0)28 3834 1635,+44 (0)28 3834 1331 ,museum@craigavon.gov.uk,Craigavon Museum services is part of Craigavon Borough council and was established in 1995.  Craigavon does not currently have a premanent venue for the exhibition of its artefacts.  At the moment an outreach programme operates within the community.  The library was named in honour of Philip Wilson who was the first Curator of Craigavon Museum Services.  The Philip B Wilson Library is a purpose built library within the Museum services building and was officially opened on 12th May 2000.  The library continues to grow and offers a valuable source of research material for those interested in the history of the Craigavon area.,424,172
143,EGSA - Learning and Work Connections,12,Advisory Body,+44 (0)28 9024 4274,+44 (0)28 9027 1507,info@egsa.org.uk,"EGSA is an independent, voluntary organisation with its own management committee.  Core funding is received from central Government. The organisation was set up by the Northern Ireland Council of Social Service in 1967 as an experimental pilot scheme: it was financed by the Clement Wilson Foundation, later supplemented by a grant from the Gulbenkian Foundation, and from 1970 it has been grant aided by the Department of Education for Northern Ireland (now Department for Employment and Learning).",427,120
146,European Commission Office (NI),14,Public Information Unit,+44 (0)28 9024 0708,+44 (0)28 9024 8241 ,"COMM-REP-BELFAST@ec.europa.eu","The European Commission Office in Northern Ireland first opened in 1980, acting initially as an Information and Press Office and serving a population which knew very little about the European Community. However the Representation's remit has expanded and now it has four distinct roles:  Representing the European Commission's voice to all sectors of society by explaining the likely impact of EU policies and programmes and ensuring that information on Europe is factually correct.  Reporting to Brussels and ensuring that the Commission is fully informed of the political, economic and social developments in the region. Supporting a policy of decentralising EU information in order to bring it closer to citizens.  Stimulating constructive debate about EU policies and future developments. Debate is encouraged through conferences, briefings, press releases, publications, articles and television and radio interviews.",429,123
152,Foyle College,15,School,+44 (0)28 7126 9321,+44 (0)28 7126 9425,info@foylecollege.derry.ni.sch.uk,"The Free School of Londonderry was founded in 1617 by Matthias Springham in Schoolhouse Lane, within the city walls. Springham was the Master of the Merchants' Taylor Company. The school moved in 1814 to a purpose built building above the Strand. It was shortly after this that the name was changed to Foyle College. The Foyle College Act was passed in 1896 uniting Londonderry Academical Institution and Foyle College, with the name and traditions of the older school being retained. In 1976 Londonderry High School and Foyle College amalgamated to form Foyle & Londonderry College.",430,129
199,IRISH LINEN CENTRE & LISBURN MUSEUM,16,Registered Museum,+44 (0)28 9266 3377,+44 (0)28 9267 2624,ilc.reception@lisburncastlereagh.gov.uk,The Irish Linen Centre & Lisburn Museum is financed and managed by Lisburn Borough Council.,431,175
100,Linen Hall Library,17,Independent Subscription Library,+44 (0)28 9032 1707,+44 (0)28 9043 8586,info@linenhall.com,"The Belfast Library and Society for Promoting Knowledge is the official title of the institution more commonly known as the Linen Hall Library.  It is the oldest library in Ireland.  It developed from the Belfast Reading Society which was founded in 1788.  The Library has always enjoyed a central role in the literary and cultural life of the city.  The Linen Hall Library provides a free public reference service, but continues to run a subscription library for the benefit of its members.  It is located in the centre of Belfast and is a leading centre for Irish and local studies in the North of Ireland, and its holdings range from its comprehensive holdings of early Belfast & Ulster printed books to the 250,000 items in the Northern Ireland Political Collection, the definitive archive of the recent troubles.  Completion of a major extension in September 2000 as part of a £3.4 Million Millennium Development has put it in an even better position to serve members and visitors alike.",531,77
158,Libraries NI,19,Public Library Service,,,services@librariesni.org.uk ,The Library Service of the North Eastern Education and Library Board was established in 1973 under the Education and Libraries (NI) Order (revised 1986).  It has a statutory obligation to provide a 'comprehensive and efficient' library service to everyone living or working in the Board's area and to all schools.  There are 38 service points and 7 mobile libraries.  All libraries are linked to the Library Service's computer system with stock issuing and circulation terminals and on-line public access catalogues.  2 mobiles are computerised.,433,135
119,Northern Ireland Assembly Library,20,Northern Ireland Assembly Library,+44 (0)28 9052 1256,+44 (0)28 9052 1922,issuedesk.library@niassembly.gov.uk,The Northern Ireland Assembly Library has existed since 1921 to serve Members and staff of the Northern Ireland Parliament (Assembly since 1973).  During periods of Direct Rule it has also acted as a reference library for Government Departments.,436,96
214,NICVA (Northern Ireland Council for Voluntary Action),21,Information Service.,+44 (0)28 9087 7777,+44 (0)28 9087 7799,info@nicva.org,"NICVA is the umbrella body for community and voluntary groups in Northern Ireland.  Established in 1938 as the NI Council of Social Services, the name was changed in the mid 1980s.  NICVA provides its 1000+ members with information, advice and traning on a wide range of issues.  NICVA adopts a community development approach, attempting to empower local communities to peursue their own needs and agendas.   The Library and Information Service has been crucial in this aim.",441,190
231,Presbyterian Historical Society of Ireland,23,Church Society.,+44 (0)28 9072  7330,,phsilibrarian@pcinet.org,The Presbyterian Historical Society was founded in 1907. It has a current membership of about 400 people. The Society organises a programme of lectures and offers an annual field trip and occasional visits to places of interest. A library and archive are maintained at 26 College Green for the use of members and other interested parties. Opening hours are limited.,443,207
81,Public Record Office of Northern Ireland (PRONI),24,Government agency with responsibility for official and private records,+44 (0)28 9025 5905,+44 (0)28 9025 5999,proni@dcalni.gov.uk,"The Public Record Office of Northern Ireland (PRONI), is the official place of deposit for all public records in Northern Ireland and was established by Act of Parliament in 1923 following the creation of Northern Ireland in 1921. PRONI is also the main repository in Northern Ireland for private records.",444,58
39,Queen's University Belfast,25,Academic Institution,00442890976333,,specialcollections@qub.ac.uk,"Queen's University Belfast was formerly established as 'Queen's College, Belfast' by Queen Victoria in 1845 as one of a network of three Queen's Colleges in Ireland alongside Cork and Galway. It was raised to the status of a full university in 1908 with its own Charter and Statutes. When Queen's College first opened its doors in 1849, there were 20 professors and 90 matriculated students all based in the main Lanyon building off University Road, Belfast. Since then, the University has grown considerably both in reputation and stature reflecting its status as one of the oldest universities in the UK. Now catering to some 1,300 academics and 17,000 full and part-time students, the University offers courses and research opportunities in Agriculture &amp; Food Science, Arts, Economics &amp; Social Sciences, Medicine &amp; Health Sciences, Science, Engineering, Education, Law and Theology based in centres within several miles of the original site, as well as a Marine Laboratory at Portaferry, a campus at Armagh City and outreach centres in Omagh and Newcastle and a nursing campus at Altnagelvin Hospital in Derry. Notable persons to have come through Queen’s doors include Seamus Heaney, a recipient of the Nobel Prize for Literature, Mary McAleese, former President of Ireland and senior officer at Queen's, David Trimble, a former member of teaching staff and a joint recipient of the Nobel Prize for Peace and actor Liam Neeson.",12,15
372,Northern Ireland Place Name Project,25,Research Unit,+44 (0)28 9027 3689,+44 (0)28 9033 5298,townlands@qub.ac.uk,"The Northern Ireland Place Name Project was established in the Department of Irish and Celtic Studies in the School of Languages, Literatures and Arts at Queen's University Belfast with government funding in 1987 to research the names of physical features and settlements on the Ordnance Survey 1:50,000 scale map. The Project was to build up a computer database of the names, giving their origin, meaning, and any historical or other relevant information. In 1990 the work was extended to include all townlands and a publication programme was begun, thus fulfilling the aims of the Ulster Place Name Society ""to undertake a survey of Ulster place names"" and to publish the results for members. Seven volumes were produced 1992-7, on parts of Counties Antrim (2), Derry (1) and Down (4). After a gap in funding 1997-9, a new grant was obtained from the Arts and Humanities Research Board to produce two further volumes in the series (Fermanagh and Tyrone) and to work towards releasing the database online. In the meantime some support was obtained from the Heritage Lottery Fund for a travelling exhibition (Celebrating Ulster’s Townlands by Kay Muhr) and from the Community Relations Council and Ultach Trust for the writing of the first Dictionary of Ulster Place-Names (by Patrick McKay). The Project is due to end in March 2004.\n\n\nSee also: \n<a href=""http://www.qub.ac.uk/lla/cel/placenameproject.htm"" target=""new_window"">http://www.qub.ac.uk/lla/cel/placenameproject.htm</a>",696,350
243,Religious Society of Friends in Ireland ,27,Religious Society,+44 (0)28 9260 1864,,,"The Religious Society of Friends in Ireland, recognised as a denomination within the Christian faith, has about seventy members in its Lisburn Meeting. ""Quaker"" is a nickname given to Friends, more than 300 years ago, by which they are sometimes best known today. Central to the life of Friends in Lisburn is the Meeting for Worship at which any member may speak or pray when led by the Holy Spirit to do so. This form of worship does not need a priest or clergyman to lead it or mediate between the Almighty and worshippers. The Meeting’s affairs are governed by regular meetings at which any member has a right to attend and speak. The Meeting has a chairperson, known as the Clerk, whose duty is to discern the feeling of the meeting and record it. No votes are ever taken. The Clerk’s job is to do the will of the meeting. It follows that decisions come up from the congregation, and are not handed down from the top. Similar meetings are held also at provincial and all–Ireland levels, at which matters affecting Friends are decided. Rules for church government are contained in a slim 90-page volume called the Book of Discipline.  Further information can be obtained from <a href=""http://www.ipag.com/quakers"" target=""new_window"">http://www.ipag.com/quakers</a>",487,219
249,Royal Ulster Rifles Museum,28,Regimental Museum with Library & Archive,00442890232086  & 00442890247279,00442890232086,rurmuseum@yahoo.co.uk,"The Regiment dates back to the reign of George III, when in 1793 to meet the commitments of war with France, the 83rd and the 86th Regiments of Foot were raised. At about the same time Regiments of Militia were raised in counties Antrim, Down and Louth. All were eventually to be part of The Royal Irish Rifles which later became The Royal Ulster Rifles. The 83rd Regiment was raised in Dublin by Colonel William Fitch and soon saw active service in the West Indies. The 86th Regiment was originally raised in Shropshire by General Cornelius Cuyler and was known as ""Cuyler's Shropshire Volunteers"". However there was some difficulty in recruiting sufficient numbers and on the regiment's move to Ireland they changed their main recruiting area to Leinster and became known as the ""Irish Giants"". The regiments saw active service in Egypt in the early 1800s and later in the Napoleonic Wars, where they were awarded many honours for their actions and bravery. The outbreak of the Indian Mutiny in 1857 found both Regiments in India and honours were again bestowed on members of the regiments. The next main event in the Regiment's history was the formation in 1881 of The Royal Irish Rifles. Many changes of dress, of title, of organisation and equipment followed, but the greatest of all was the conversion to a Rifle Regiment, which was regarded as a signal honour. It was in 1921 that the decision was made to change the name from The Royal Irish Rifles to The Royal Ulster Rifles. Finally in 1968 The Royal Ulster Rifles amalgamated with The Royal Inniskilling Fusiliers and The Royal Irish Fusiliers to form The Royal Irish Rangers, thus preserving the future of the Irish Regiments.",489,225
254,Save the Children,29,International Charity/Global Children's Rights Organisation,+44 (0)28 90431123,+44 (0)28 9043 1314,r.mcdonald@scfuk.org.uk,"At the end of the First World War a group of volunteers in the UK spoke out against injustice to children in Germany and Austria. They believed that these children were being punished for their leaders' part in the First World War. As a result of an economic blockade imposed after the war to starve the politicians into submission, many children died.  Eglantyne Jebb and her sister Dorothy Buxton, were at the forefront of this campaign.  They felt campaigning had to go hand-in-hand with practical action.  Save the Children was launched in 1919 to send food to the suffering children. Within a few years, Save the Children gained a reputation as a highly effective relief agency.  Today Save the Children maintains its commitment to helping children in emergencies, while also campaigning for politicians to tackle the causes of war and environmental disasters.  In 1923 Save the Children's founder, Eglantyne Jebb, pioneered the world's first charter on children's rights. It promoted the principle that children were entitled to a good quality of life, and that governments, families and other adults were obliged to provide this. So instead of being seen as charity cases, children were portrayed as having rights which adults must fulfil.  By the end of the century, the ideas behind the charter had changed international thinking about children. In 1989 the charter formed the basis of the UN Convention on the Rights of the Child. This Convention is now the most widely recognised international law, having been signed by just about every country in the world.",495,230
300,"Newry City Library, Libraries NI",30,Public Library Service,+44 (0)28 3752 7851,+44 (0)28 3752 7127,IrishandLocalStudies.selb@ni-libraries.net,"Newry Free Library was open to the public on September 13th 1897 with a librarian, Miss Armstrong.  The Library opened with a stock of some 5,000 volumes, all catalogued, classified and labelled, selected with the help of  Mr J.H. Quinn, Librarian at the Chelsea Free Library. It was hoped that the stock selected would “provide material for the tastes of all classes of readers.” Stock in the new library included Irish history, archaeology and biography, as well as a number of titles of purely local interest – many of which were printed in Newry. Newry Free Library came under the control of the Southern Education & Library Board (SELB) in 1973 with the reorganisation of Local Government. This re-organisation created five new Education and Library Boards which replaced six County Council areas, two City Authorities and a number of independent Town Library Authorities.  The Southern Education and Library Board Library Service area consists of all of Armagh county, parts of Down, Tyrone, Antrim and Londonderry, and four former independent town authorities, namely Lurgan, Portadown, Banbridge and Newry.",628,277
128,St. Mary's University College,31,Academic Institution,+44 (0)28 9032 7678,+44 (0)28 9033 3719,,"St Mary's University College is an independent Catholic institution linked academically to the Queen's University of Belfast, which validates its degrees, and the Department of Education for Northern Ireland. The College has been at the forefront of Teacher Education in Northern Ireland since 1900.  While its primary task is the training and ongoing professional development of teachers for the Catholic schools sector , the College is actively involved in the professional development of all teachers in all types of schools. It operates at undergraduate and post-graduate levels and offers a range of courses and awards of an educational and related nature.",496,105
129,Centre for Migration Studies,32,Research Centre for Migration Studies.,+44 (0)28 8225 6315 ,+44 (0)28 8224 2241,uafp@iol.ie,"The Centre for Migration Studies developed from the research library for the Ulster American Folk Park. This was in existence from 1980 approx. In 1990 the WELB on behalf of the 5 Education & Library Boards took over the running of the Library and appointed a Librarian (Christine McIvor) & Database Manager (John Winters). The library operated from a temporary building until 1993, when a new purpose built building was officially opened. At this stage a Senior Library Assistant/Clerical Officer (Mrs Christine Johnston) was also appointed by the WELB. In 1996 the Library was officially named Centre for Emigration Studies. A MSSc in Irish Migration Studies in conjunction with QUB was instigated in September 1996, taught by Dr John Lynch from QUB & Dr Patrick Fitzgerald from the UAFP. This continues to run successfully. The name of the Centre was changed to its present name in 1998 with the appointment of a Director – Dr Brian Lambkin. It was felt that Migration was a term which better explained the ethos of the Centre, by encompassing emigration, immigration, internal migration & return migration. Dr Patrick Fitzgerald was also appointed at this time to the CMS and is now Lecturer & Development Officer. The Centre has a Management Committee made up of the Scotch-Irish Trust and representatives from WELB, QUB and other interested organisations. The Centre continues to support the UAFP & its staff in their research, but is also involved in research, teaching & publication on its own behalf. We are a national centre for the research of Irish Migration history and researchers are always welcome to visit and use the collection and the Irish Emigration Database. CMS Vision is of ‘an informed community, confidently and creatively engaged with its migration history, culture and heritage’. CMS Mission is ‘to serve the community as a leading international institution for the study of human migration, focusing on the peoples of Ireland world-wide’.",498,106
165,Ulster Folk and Transport Museum,33,National Museum,+44 (0)28 9042 8428,+44 (0)28 9042 8728,uftm@nidex.com,"The Ulster Folk & Transport Museum was officially established following the formal amalgamation of the Ulster Folk Museum and the transport section of the former Belfast Municipal Museum (later the Ulster Museum) in 1973, although the two had been operating together since 1967. Opening up to the public in 1964, the Ulster Folk Museum was constituted by legislation passed by the Northern Ireland Parliament in 1958. It was set up under the guidance of a Board of Trustees with the primary objective ""of illustrating the way of life, past and present, and the traditions of the people of Northern Ireland"". The Trustees were also empowered to ""take such other actions [e.g. research etc]…proper for the purpose of acquiring or disseminating knowledge of such way of life and traditions."" The Museum is based in extensive grounds purchased in 1961 and 1964 at Cultra, Co. Down and today ranks among Ireland's foremost visitor attractions. It comprises an open-air museum including a town area and three purpose-built in-door exhibition galleries. The Museum also maintains a library and research facility and operates a busy educational programme for schools. In 1998, the Museum was brought together as a national institution with the Ulster Museum, the Ulster-American Folk Park and Armagh County Museum to form the Museums And Galleries for Northern Ireland, known as MAGNI, a major network of national museums in Northern Ireland.\n\n\nSee also: \n""Creating Ulster's Folk Museum,"" Alan Gailey in Ulster Folklife, Vol. 32, 1986.",500,141
155,"Gamble Library, Union Theological College",34,Academic library,00442890205093,00442890580040,admin@union.ac.uk,"Union Theological College is Northern Ireland's premier theological college with a long tradition of academic excellence and of commitment to the ministry and mission of the Church. Today's vibrant student community includes men and women from all the main traditions from home and overseas. Courses are rooted in the historical Christian faith. Undergraduate and postgraduate courses in theology are available as are professional courses in Ministry. Union Theological College is a union of two nineteenth century Irish Presbyterian theological colleges - The Presbyterian College, Belfast (founded 1853) and Magee Theological College, Londonderry (founded 1865). For many years The Presbyterian College, Belfast was known affectionately as ""Assembly's"" being the College of the General Assembly of The Presbyterian Church in Ireland. Magee Theological College began as the Theological Department of a College of Arts and Divinity which opened in Londonderry in 1865, and later became Magee University College. When the Arts side was incorporated into the New University of Ulster in 1971, the Theological College was transferred to Belfast, where it was united with the Presbyterian College to form the Union Theological College in 1978.",503,132
127,Ulster University,35,Academic Institution,+44 (0)28 7032 4546,+44 (0)28 7032 4357,je.peden@ulster.ac.uk,"The University of Ulster was established in 1984 as a result of a merger of the New University of Ulster (founded 1968) with the Ulster Polytechnic (founded 1971).  There are four campuses – Coleraine, Jordanstown, Belfast and Magee. There are two libraries on the Coleraine campus, one in South Buildings and one in Central Buildings. The Special Collections are held in the Central Buildings Library. A map of the campus can be found at Url:  <a href=""http://www.ulst.ac.uk/information/location/colerainecampus.html"" target=""new_window"">http://www.ulst.ac.uk/information/location/colerainecampus.html</a>",506,104
422,"Ulster University, Coleraine",35,Owner,+44 (0)28 701 24540,N/A,special.collections@library.ulster.ac.uk,,,
434,"Ulster University, Jordanstown",36,,+44 (0)28 903 66970,,,,,
125,CAIN Project,37,Academic Research Project,+44 (0)28 7137 5517,+44 (0)28 7137 5510,m.melaugh@ulster.ac.uk,CAIN is based within the University of Ulster and is located at the Magee Campus.  The University of Ulster has recently provided funding for the CAIN project.  The Project began work in January 1996.  The web site was launched in March 1997.,422,102
138,Ulster University,37,Academic Institution,+44 (0)28 7137 5386,+44 (0)28 7137 5626,online@ulst.ac.uk,"The University of Ulster was established in 1984 as a result of a merger of the New University of Ulster (founded 1968) with the Ulster Polytechnic (founded 1971).  There are four campuses – Coleraine, Jordanstown, Belfast and Magee College. Magee College was founded in 1865 as a liberal arts college with a theological department for training ministers for the Presbyterian Church in Ireland.  In 1984, after a rather chequered history, Magee College became part of the University of Ulster.  Since then the College has enjoyed a period of sustained growth and development.  A more detailed history of Magee College can be found at:<a href=""http://www.ulst.ac.uk/library/magee/history.htm"" target=""new_window"">http://www.ulst.ac.uk/library/magee/history.htm</a>",512,115
435,"Ulster University, Magee",37,,+44 (0)28 701 24540,,,,,
